genotype_sample_id	genetic_stock_varname	country_origin	phenotype_sheet	phenotype_row_id	phenotype_name	phenotype_stock_id	phenotype_gs_accno	phenotype_source_accno	genesys_accename	genesys_accenumb	match_rule	recommended_action	notes
B060	Aijiaonante	China	Data < 2007	1213	AIJIAONANTE::IRGC 96974-1	1540			AIJIAONANTE::IRGC 96974-1	IRGC 127115	genesys_name;normalized_stock_name	keep_as_C_excluded unless hard ID evidence is found	final C-level sample; excluded from main benchmark pending manual review
B246	Laozaogu	China	Data < 2007	1193	LAOZAOGU::IRGC 93444-1	1520			LAOZAOGU::IRGC 93444-1	IRGC 127552	genesys_name;normalized_stock_name	keep_as_C_excluded unless hard ID evidence is found	final C-level sample; excluded from main benchmark pending manual review
CX154	Khao_Dawk_Mali_105	Thailand	Data < 2007	25	KHAO DAWK MALI 105::IRGC 27748-2	39			KHAO DAWK MALI 105::IRGC 27748-2	IRGC 121235	genesys_name;normalized_stock_name	keep_as_C_excluded unless hard ID evidence is found	final C-level sample; excluded from main benchmark pending manual review
CX22	PR_106	India	Data < 2007	649	PR 106::IRGC 53418-1	939			PR 106::IRGC 53418-1	IRGC 127742	genesys_name;normalized_stock_name	keep_as_C_excluded unless hard ID evidence is found	final C-level sample; excluded from main benchmark pending manual review
CX234	IR_62266-42-6-2	Philippines	Data > 2007	8	IR 62266-42-6-2	81			IR 62266-42-6-2::IRGC 117397-1	IRGC 117597	genesys_name;normalized_stock_name	keep_as_C_excluded unless hard ID evidence is found	final C-level sample; excluded from main benchmark pending manual review
CX237	B_6136-3-TB-0-1-5	Indonesia	Data > 2007	19	B 6136-3-TB-0-1-5::IRGC 117312-1	165			B 6136-3-TB-0-1-5::IRGC 117312-1	IRGC 125951	genesys_name;normalized_stock_name	keep_as_C_excluded unless hard ID evidence is found	final C-level sample; excluded from main benchmark pending manual review
CX266	DINORADO	Philippines	Data < 2007	640	DINORADO::IRGC 52893-1	928			DINORADO::IRGC 52893-1	IRGC 128280	genesys_name;normalized_stock_name	keep_as_C_excluded unless hard ID evidence is found	final C-level sample; excluded from main benchmark pending manual review
CX273	NONA_BOKRA	India	Data < 2007	603	NONA BOKRA::IRGC 22710-C1	813					stock_name_before_double_colon	keep_as_C_excluded unless hard ID evidence is found	final C-level sample; excluded from main benchmark pending manual review
CX368	N_22	India	Data < 2007	57	N 22::IRGC 46459-1	74			N 22::IRGC 46459-1	IRGC 126249	genesys_name;normalized_stock_name	keep_as_C_excluded unless hard ID evidence is found	final C-level sample; excluded from main benchmark pending manual review
IRIS_313-7641	B_6144-MR-6-0-0::C1	Indonesia	Data > 2007	52	B 6144-MR-6-0-0::IRGC 117371-1	444			B 6144-MR-6-0-0::C1	IRGC 121974	genesys_name;stock_name_before_double_colon	keep_as_C_excluded unless hard ID evidence is found	final C-level sample; excluded from main benchmark pending manual review
IRIS_313-7876	DINORADO::IRTP_12568-C1	Philippines	Data < 2007	640	DINORADO::IRGC 52893-1	928					stock_name_before_double_colon	keep_as_C_excluded unless hard ID evidence is found	final C-level sample; excluded from main benchmark pending manual review
IRIS_313-8065	SAMBA::GERVEX_186-C1	Italy	Data < 2007	1397	SAMBA::IRGC 11993-1	1729			SAMBA::GERVEX 186-C1	IRGC 122238	genesys_name;stock_name_before_double_colon	keep_as_C_excluded unless hard ID evidence is found	final C-level sample; excluded from main benchmark pending manual review
