level	baseline_name	trait_id	k	n_ranked	n_positive_or_regional	n_hits	hit_rate	weak_evidence_recall	expected_hits_random	enrichment_over_random	notes
window	random_uniform	data_lt_2007__spkf	10	865	137	1	0.1	0.007299	1.583815	0.631387	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__spkf	20	865	137	2	0.1	0.014599	3.16763	0.631387	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__spkf	50	865	137	8	0.16	0.058394	7.919075	1.010219	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__spkf	100	865	137	12	0.12	0.087591	15.83815	0.757664	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__fla_repro	10	865	17	0	0	0	0.196532	0	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__fla_repro	20	865	17	0	0	0	0.393064	0	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__fla_repro	50	865	17	1	0.02	0.058824	0.982659	1.017647	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__fla_repro	100	865	17	1	0.01	0.058824	1.965318	0.508824	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__cult_code_repro	10	865	288	4	0.4	0.013889	3.32948	1.201389	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__cult_code_repro	20	865	288	9	0.45	0.03125	6.65896	1.351562	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__cult_code_repro	50	865	288	17	0.34	0.059028	16.647399	1.021181	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__cult_code_repro	100	865	288	32	0.32	0.111111	33.294798	0.961111	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__llt_code	10	865	261	4	0.4	0.015326	3.017341	1.32567	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__llt_code	20	865	261	8	0.4	0.030651	6.034682	1.32567	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__llt_code	50	865	261	18	0.36	0.068966	15.086705	1.193103	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__llt_code	100	865	261	31	0.31	0.118774	30.17341	1.027395	unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__pex_repro	10	865	0	0	0		0		unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__pex_repro	20	865	0	0	0		0		unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__pex_repro	50	865	0	0	0		0		unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__pex_repro	100	865	0	0	0		0		unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__lsen	10	865	0	0	0		0		unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__lsen	20	865	0	0	0		0		unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__lsen	50	865	0	0	0		0		unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__lsen	100	865	0	0	0		0		unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__pth	10	865	0	0	0		0		unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__pth	20	865	0	0	0		0		unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__pth	50	865	0	0	0		0		unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__pth	100	865	0	0	0		0		unknown_unlabeled used only as ranking background
window	random_uniform	data_lt_2007__cuan_repro	10	865	17	0	0	0	0.196532	0	unknown_unlabeled used only as ranking background
