baseline_name	trait_id	n_windows	n_positive_or_regional_windows	top_10_hit_rate	top_20_hit_rate	top_50_hit_rate	top_100_hit_rate	weak_evidence_recall_at_10	weak_evidence_recall_at_20	weak_evidence_recall_at_50	weak_evidence_recall_at_100	median_rank_percentile_of_evidence_windows	enrichment_over_random_at_50	notes
random_uniform	data_lt_2007__spkf	865	137	0.1	0.1	0.16	0.12	0.007299	0.014599	0.058394	0.087591	0.457176	1.010219	weak evidence ranking metric; no formal binary-classifier metric
random_uniform	data_lt_2007__fla_repro	865	17	0	0	0.02	0.01	0	0	0.058824	0.058824	0.313657	1.017647	weak evidence ranking metric; no formal binary-classifier metric
random_uniform	data_lt_2007__cult_code_repro	865	288	0.4	0.45	0.34	0.32	0.013889	0.03125	0.059028	0.111111	0.502315	1.021181	weak evidence ranking metric; no formal binary-classifier metric
random_uniform	data_lt_2007__llt_code	865	261	0.4	0.4	0.36	0.31	0.015326	0.030651	0.068966	0.118774	0.480324	1.193103	weak evidence ranking metric; no formal binary-classifier metric
random_uniform	data_lt_2007__pex_repro	865	0	0	0	0	0							weak evidence ranking metric; no formal binary-classifier metric
random_uniform	data_lt_2007__lsen	865	0	0	0	0	0							weak evidence ranking metric; no formal binary-classifier metric
random_uniform	data_lt_2007__pth	865	0	0	0	0	0							weak evidence ranking metric; no formal binary-classifier metric
random_uniform	data_lt_2007__cuan_repro	865	17	0	0	0.02	0.01	0	0	0.058824	0.058824	0.259259	1.017647	weak evidence ranking metric; no formal binary-classifier metric
random_uniform	data_lt_2007__cudi_code_repro	865	2	0	0	0	0	0	0	0	0	0.529514	0	weak evidence ranking metric; no formal binary-classifier metric
window_snp_density	data_lt_2007__spkf	865	137	0.3	0.25	0.28	0.21	0.021898	0.036496	0.10219	0.153285	0.288194	1.767883	weak evidence ranking metric; no formal binary-classifier metric
window_snp_density	data_lt_2007__fla_repro	865	17	0	0	0	0.01	0	0	0	0.058824	0.520833	0	weak evidence ranking metric; no formal binary-classifier metric
window_snp_density	data_lt_2007__cult_code_repro	865	288	0.2	0.2	0.24	0.24	0.006944	0.013889	0.041667	0.083333	0.430556	0.720833	weak evidence ranking metric; no formal binary-classifier metric
window_snp_density	data_lt_2007__llt_code	865	261	0.2	0.2	0.22	0.22	0.007663	0.015326	0.042146	0.084291	0.427083	0.729119	weak evidence ranking metric; no formal binary-classifier metric
window_snp_density	data_lt_2007__pex_repro	865	0	0	0	0	0							weak evidence ranking metric; no formal binary-classifier metric
window_snp_density	data_lt_2007__lsen	865	0	0	0	0	0							weak evidence ranking metric; no formal binary-classifier metric
window_snp_density	data_lt_2007__pth	865	0	0	0	0	0							weak evidence ranking metric; no formal binary-classifier metric
window_snp_density	data_lt_2007__cuan_repro	865	17	0	0	0	0.01	0	0	0	0.058824	0.520833	0	weak evidence ranking metric; no formal binary-classifier metric
window_snp_density	data_lt_2007__cudi_code_repro	865	2	0	0	0	0	0	0	0	0	0.399306	0	weak evidence ranking metric; no formal binary-classifier metric
genomic_position	data_lt_2007__spkf	865	137	0	0	0	0.26	0	0	0	0.189781	0.835648	0	weak evidence ranking metric; no formal binary-classifier metric
genomic_position	data_lt_2007__fla_repro	865	17	1	0.85	0.34	0.17	0.588235	1	1	1	0.990741	17.3	weak evidence ranking metric; no formal binary-classifier metric
genomic_position	data_lt_2007__cult_code_repro	865	288	1	1	1	1	0.034722	0.069444	0.173611	0.347222	0.66956	3.003472	weak evidence ranking metric; no formal binary-classifier metric
genomic_position	data_lt_2007__llt_code	865	261	0	0.15	0.66	0.83	0	0.011494	0.126437	0.318008	0.829861	2.187356	weak evidence ranking metric; no formal binary-classifier metric
genomic_position	data_lt_2007__pex_repro	865	0	0	0	0	0							weak evidence ranking metric; no formal binary-classifier metric
genomic_position	data_lt_2007__lsen	865	0	0	0	0	0							weak evidence ranking metric; no formal binary-classifier metric
genomic_position	data_lt_2007__pth	865	0	0	0	0	0							weak evidence ranking metric; no formal binary-classifier metric
genomic_position	data_lt_2007__cuan_repro	865	17	1	0.85	0.34	0.17	0.588235	1	1	1	0.990741	17.3	weak evidence ranking metric; no formal binary-classifier metric
genomic_position	data_lt_2007__cudi_code_repro	865	2	0	0	0	0.02	0	0	0	1	0.912616	0	weak evidence ranking metric; no formal binary-classifier metric
shuffled_trait	data_lt_2007__spkf	865	137	0	0	0	0	0	0	0	0	0.306713	0	weak evidence ranking metric; no formal binary-classifier metric
shuffled_trait	data_lt_2007__fla_repro	865	17	0	0	0	0	0	0	0	0	0.155093	0	weak evidence ranking metric; no formal binary-classifier metric
shuffled_trait	data_lt_2007__cult_code_repro	865	288	0.2	0.1	0.04	0.38	0.006944	0.006944	0.006944	0.131944	0.385995	0.120139	weak evidence ranking metric; no formal binary-classifier metric
shuffled_trait	data_lt_2007__llt_code	865	261	0	0	0	0.01	0	0	0	0.003831	0.262731	0	weak evidence ranking metric; no formal binary-classifier metric
shuffled_trait	data_lt_2007__pex_repro	865	0	0	0	0	0							weak evidence ranking metric; no formal binary-classifier metric
shuffled_trait	data_lt_2007__lsen	865	0	0	0	0	0							weak evidence ranking metric; no formal binary-classifier metric
shuffled_trait	data_lt_2007__pth	865	0	0	0	0	0							weak evidence ranking metric; no formal binary-classifier metric
shuffled_trait	data_lt_2007__cuan_repro	865	17	0	0	0	0	0	0	0	0	0.155093	0	weak evidence ranking metric; no formal binary-classifier metric
shuffled_trait	data_lt_2007__cudi_code_repro	865	2	0	0	0	0	0	0	0	0	0.242477	0	weak evidence ranking metric; no formal binary-classifier metric
