coverage_id	assigned_split	trait_id	object_type	score_source	score_level_used	n_objects	n_objects_with_evidence_score	n_objects_with_any_decoy_score	n_objects_with_all_decoy_scores	mean_decoys_with_score	median_decoys_with_score	coverage_rate_evidence	coverage_rate_decoy_any	coverage_rate_decoy_all	dry_run_only	notes
DRCOV_00000001	dev	data_lt_2007__cuan_repro	variant	baseline:genomic_position	variant	706	706	706	706	5	5	1	1	1	true	exact score coverage
DRCOV_00000002	dev	data_lt_2007__cuan_repro	variant	baseline:random_uniform	variant	706	706	706	706	5	5	1	1	1	true	exact score coverage
DRCOV_00000003	dev	data_lt_2007__cuan_repro	variant	baseline:shuffled_trait	variant	706	706	706	706	5	5	1	1	1	true	exact score coverage
DRCOV_00000004	dev	data_lt_2007__cuan_repro	variant	baseline:window_snp_density	variant	706	706	706	706	5	5	1	1	1	true	exact score coverage
DRCOV_00000005	dev	data_lt_2007__cuan_repro	window	baseline:genomic_position	window	17	17	17	17	5	5	1	1	1	true	exact score coverage
DRCOV_00000006	dev	data_lt_2007__cuan_repro	window	baseline:random_uniform	window	17	17	17	17	5	5	1	1	1	true	exact score coverage
DRCOV_00000007	dev	data_lt_2007__cuan_repro	window	baseline:shuffled_trait	window	17	17	17	17	5	5	1	1	1	true	exact score coverage
DRCOV_00000008	dev	data_lt_2007__cuan_repro	window	baseline:window_snp_density	window	17	17	17	17	5	5	1	1	1	true	exact score coverage
DRCOV_00000009	dev	data_lt_2007__cudi_code_repro	gene	baseline:genomic_position	window	47	47	47	47	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000010	dev	data_lt_2007__cudi_code_repro	gene	baseline:random_uniform	window	47	47	47	47	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000011	dev	data_lt_2007__cudi_code_repro	gene	baseline:shuffled_trait	window	47	47	47	47	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000012	dev	data_lt_2007__cudi_code_repro	gene	baseline:window_snp_density	window	47	47	47	47	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000013	dev	data_lt_2007__cudi_code_repro	qtl_interval	baseline:genomic_position	window	1	1	1	1	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000014	dev	data_lt_2007__cudi_code_repro	qtl_interval	baseline:random_uniform	window	1	1	1	1	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000015	dev	data_lt_2007__cudi_code_repro	qtl_interval	baseline:shuffled_trait	window	1	1	1	1	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000016	dev	data_lt_2007__cudi_code_repro	qtl_interval	baseline:window_snp_density	window	1	1	1	1	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000017	dev	data_lt_2007__cult_code_repro	gene	baseline:genomic_position	window	97	97	97	97	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000018	dev	data_lt_2007__cult_code_repro	gene	baseline:random_uniform	window	97	97	97	97	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000019	dev	data_lt_2007__cult_code_repro	gene	baseline:shuffled_trait	window	97	97	97	97	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000020	dev	data_lt_2007__cult_code_repro	gene	baseline:window_snp_density	window	97	97	97	97	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000021	dev	data_lt_2007__cult_code_repro	qtl_interval	baseline:genomic_position	window	29	29	29	29	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000022	dev	data_lt_2007__cult_code_repro	qtl_interval	baseline:random_uniform	window	29	29	29	29	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000023	dev	data_lt_2007__cult_code_repro	qtl_interval	baseline:shuffled_trait	window	29	29	29	29	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000024	dev	data_lt_2007__cult_code_repro	qtl_interval	baseline:window_snp_density	window	29	29	29	29	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000025	dev	data_lt_2007__cult_code_repro	variant	baseline:genomic_position	variant	10668	10668	10668	10668	5	5	1	1	1	true	exact score coverage
DRCOV_00000026	dev	data_lt_2007__cult_code_repro	variant	baseline:random_uniform	variant	10668	10668	10668	10668	5	5	1	1	1	true	exact score coverage
DRCOV_00000027	dev	data_lt_2007__cult_code_repro	variant	baseline:shuffled_trait	variant	10668	10668	10668	10668	5	5	1	1	1	true	exact score coverage
DRCOV_00000028	dev	data_lt_2007__cult_code_repro	variant	baseline:window_snp_density	variant	10668	10668	10668	10668	5	5	1	1	1	true	exact score coverage
DRCOV_00000029	dev	data_lt_2007__cult_code_repro	window	baseline:genomic_position	window	219	219	219	219	5	5	1	1	1	true	exact score coverage
DRCOV_00000030	dev	data_lt_2007__cult_code_repro	window	baseline:random_uniform	window	219	219	219	219	5	5	1	1	1	true	exact score coverage
DRCOV_00000031	dev	data_lt_2007__cult_code_repro	window	baseline:shuffled_trait	window	219	219	219	219	5	5	1	1	1	true	exact score coverage
DRCOV_00000032	dev	data_lt_2007__cult_code_repro	window	baseline:window_snp_density	window	219	219	219	219	5	5	1	1	1	true	exact score coverage
DRCOV_00000033	dev	data_lt_2007__fla_repro	gene	baseline:genomic_position	window	3	3	3	3	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000034	dev	data_lt_2007__fla_repro	gene	baseline:random_uniform	window	3	3	3	3	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000035	dev	data_lt_2007__fla_repro	gene	baseline:shuffled_trait	window	3	3	3	3	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000036	dev	data_lt_2007__fla_repro	gene	baseline:window_snp_density	window	3	3	3	3	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000037	dev	data_lt_2007__fla_repro	qtl_interval	baseline:genomic_position	window	5	5	5	5	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000038	dev	data_lt_2007__fla_repro	qtl_interval	baseline:random_uniform	window	5	5	5	5	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000039	dev	data_lt_2007__fla_repro	qtl_interval	baseline:shuffled_trait	window	5	5	5	5	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000040	dev	data_lt_2007__fla_repro	qtl_interval	baseline:window_snp_density	window	5	5	5	5	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
DRCOV_00000041	dev	data_lt_2007__fla_repro	variant	baseline:genomic_position	variant	706	706	706	706	5	5	1	1	1	true	exact score coverage
DRCOV_00000042	dev	data_lt_2007__fla_repro	variant	baseline:random_uniform	variant	706	706	706	706	5	5	1	1	1	true	exact score coverage
DRCOV_00000043	dev	data_lt_2007__fla_repro	variant	baseline:shuffled_trait	variant	706	706	706	706	5	5	1	1	1	true	exact score coverage
DRCOV_00000044	dev	data_lt_2007__fla_repro	variant	baseline:window_snp_density	variant	706	706	706	706	5	5	1	1	1	true	exact score coverage
DRCOV_00000045	dev	data_lt_2007__fla_repro	window	baseline:genomic_position	window	17	17	17	17	5	5	1	1	1	true	exact score coverage
DRCOV_00000046	dev	data_lt_2007__fla_repro	window	baseline:random_uniform	window	17	17	17	17	5	5	1	1	1	true	exact score coverage
DRCOV_00000047	dev	data_lt_2007__fla_repro	window	baseline:shuffled_trait	window	17	17	17	17	5	5	1	1	1	true	exact score coverage
DRCOV_00000048	dev	data_lt_2007__fla_repro	window	baseline:window_snp_density	window	17	17	17	17	5	5	1	1	1	true	exact score coverage
DRCOV_00000049	dev	data_lt_2007__llt_code	gene	baseline:genomic_position	window	1	1	1	1	5	5	1	1	1	true	coverage depends on overlapping-window dry-run adapter aggregation; diagnostic only
