source_database	download_id	source_id	data_category	file_role	url	local_path	download_status	file_size_bytes	checksum_sha256	source_version	reference_build	notes
RAP-DB	DL_EXT_RAPDB_DOWNLOAD_PAGE_001	SRC_EXT_RAPDB_001	external_gene_annotation	download_page_html	https://rapdb.dna.naro.go.jp/download/irgsp1.html	data/raw/external_knowledge/rapdb/irgsp1_download_page.html	downloaded	8190	6e5fc190d1944a78efdd219d20895cd92f3147290a39ea49283bb1e705cad185	RAP-DB IRGSP-1.0 2026-02-05	IRGSP-1.0	RAP-DB IRGSP-1.0 download page; link provenance metadata
RAP-DB	DL_EXT_RAPDB_DOWNLOAD_JS_001	SRC_EXT_RAPDB_001	external_gene_annotation	download_page_javascript	https://rapdb.dna.naro.go.jp/assets/download.99861702.js	data/raw/external_knowledge/rapdb/download.99861702.js	downloaded	19391	632539148d3dcac5a98e353eff9286185fa7a80f0bffc93d956d8ce73e96d3d0	RAP-DB IRGSP-1.0 2026-02-05	IRGSP-1.0	RAP-DB download page JavaScript containing versioned file links
RAP-DB	DL_EXT_RAPDB_REP_ANNOT_20260205_001	SRC_EXT_RAPDB_001	external_gene_annotation	representative_annotation_tsv	https://rapdb.dna.naro.go.jp/download/archive/irgsp1/IRGSP-1.0_representative_annotation_2026-02-05.tsv.gz	data/raw/external_knowledge/rapdb/IRGSP-1.0_representative_annotation_2026-02-05.tsv.gz	downloaded	3305126	e7d13a7d2ff852061f5ac890efa117fbba5f0a580a4eda4233404d49a93c062d	RAP-DB IRGSP-1.0 2026-02-05	IRGSP-1.0	Representative gene annotation table; annotation layer candidate
RAP-DB	DL_EXT_RAPDB_REP_EXON_GTF_20260205_001	SRC_EXT_RAPDB_001	external_gene_annotation	representative_transcript_exon_gtf	https://rapdb.dna.naro.go.jp/download/archive/irgsp1/IRGSP-1.0_representative_transcript_exon_2026-02-05.gtf.gz	data/raw/external_knowledge/rapdb/IRGSP-1.0_representative_transcript_exon_2026-02-05.gtf.gz	downloaded	2049986	f46a12e4b2651bab87a613d60f4eceecdbb67e97c04399c1c70cadd10bdddc95	RAP-DB IRGSP-1.0 2026-02-05	IRGSP-1.0	Representative transcript exon GTF; coordinate annotation layer candidate
RAP-DB	DL_EXT_RAPDB_RAP_MSU_20260205_001	SRC_EXT_RAPDB_001	external_gene_id_mapping	rap_msu_id_mapping	https://rapdb.dna.naro.go.jp/download/archive/RAP-MSU_2026-02-05.txt.gz	data/raw/external_knowledge/rapdb/RAP-MSU_2026-02-05.txt.gz	downloaded	314930	75f3c7c2b81837ee0ec94c17b73ba36ae6e7c3f93192840399e8887553c77e00	RAP-DB IRGSP-1.0 2026-02-05	IRGSP-1.0 / MSU RGAP	RAP-DB to MSU LOC_Os ID mapping table; gene ID mapping layer candidate
RAP-DB	DL_EXT_RAPDB_TRANSCRIPT_EVIDENCE_20120411_001	SRC_EXT_RAPDB_001	external_gene_id_mapping	transcript_evidence_accession_mapping	https://rapdb.dna.naro.go.jp/download/archive/IRGSP-1.0_transcript-evidence_2012-04-11.txt.gz	data/raw/external_knowledge/rapdb/IRGSP-1.0_transcript-evidence_2012-04-11.txt.gz	downloaded	339560	d34455672ce480dd0dda93fb925c656c5837e5b9de0b70d4a3972b66be3ce562	2012-04-11	IRGSP-1.0	Transcript evidence accession/species mapping; metadata and ID audit support
RAP-DB	DL_EXT_RAPDB_CURATED_PAGE_001	SRC_EXT_RAPDB_001	external_known_gene_evidence	curated_genes_page_html	https://rapdb.dna.naro.go.jp/curated_genes/curated_gene_list.html	data/raw/external_knowledge/rapdb/curated_gene_list.html	downloaded	8810	d6b9bd3469c418e4919e3a89e07f06bc31ec5c98791e45dd1efabbf544ac033d	RAP-DB IRGSP-1.0 2026-02-05	IRGSP-1.0	RAP-DB curated genes page; known gene evidence provenance
RAP-DB	DL_EXT_RAPDB_CURATED_JSON_001	SRC_EXT_RAPDB_001	external_known_gene_evidence	curated_genes_json	https://rapdb.dna.naro.go.jp/curated_genes/curated_genes.json	data/raw/external_knowledge/rapdb/curated_genes.json	downloaded	7230266	029b3a2ab2737e801046daf6735f81b8e1ea813f28407f011eabeea4faf40b01	RAP-DB IRGSP-1.0 2026-02-05	IRGSP-1.0	RAP-DB curated genes JSON; known gene evidence layer candidate
RAP-DB	DL_EXT_RAPDB_AGRI_PAGE_001	SRC_EXT_RAPDB_001	external_known_gene_evidence	agronomically_important_genes_page_html	https://rapdb.dna.naro.go.jp/agri_genes/agri_gene_list.html	data/raw/external_knowledge/rapdb/agri_gene_list.html	downloaded	8678	5a4e97ddefb0f7c6196792c46d20d29111baba2d6c3438e86d13978045d59151	RAP-DB IRGSP-1.0 2026-02-05	IRGSP-1.0	RAP-DB agronomically important genes page; known gene evidence provenance
RAP-DB	DL_EXT_RAPDB_AGRI_JSON_001	SRC_EXT_RAPDB_001	external_known_gene_evidence	agronomically_important_genes_json	https://rapdb.dna.naro.go.jp/agri_genes/agri_genes.json	data/raw/external_knowledge/rapdb/agri_genes.json	downloaded	1397267	798b0766be73e63918ad75f788df101a82978a8b581df51b69cbda70cc9bd84a	RAP-DB IRGSP-1.0 2026-02-05	IRGSP-1.0	RAP-DB agronomically important genes JSON; known gene evidence layer candidate
