source_name	source_version	raw_file_path	processed_table	checksum	download_or_access_date	source_type	allowed_usage	license_or_terms_note	processing_script	notes
RAP-DB	IRGSP-1.0 2026-02-05	data/raw/external_knowledge/rapdb/IRGSP-1.0_representative_annotation_2026-02-05.tsv.gz	data/interim/external_knowledge_v055/annotation/gene_annotation_table.tsv	e7d13a7d2ff852061f5ac890efa117fbba5f0a580a4eda4233404d49a93c062d	2026-05-16T12:06:40.789570+00:00	gene_annotation	evaluation_reference;explanation;case_study;development_evidence_candidate	license/terms not reinterpreted in this processing step; review source pages before redistribution	scripts/external_knowledge/build_gene_annotation_table.py	external knowledge resource only; not training label
RAP-DB	IRGSP-1.0 2026-02-05	data/raw/external_knowledge/rapdb/IRGSP-1.0_representative_transcript_exon_2026-02-05.gtf.gz	data/interim/external_knowledge_v055/annotation/gene_annotation_table.tsv	f46a12e4b2651bab87a613d60f4eceecdbb67e97c04399c1c70cadd10bdddc95	2026-05-16T12:06:42.029180+00:00	gene_annotation	evaluation_reference;explanation;case_study;development_evidence_candidate	license/terms not reinterpreted in this processing step; review source pages before redistribution	scripts/external_knowledge/build_gene_annotation_table.py	external knowledge resource only; not training label
RAP-DB	IRGSP-1.0 2026-02-05	data/raw/external_knowledge/rapdb/RAP-MSU_2026-02-05.txt.gz	data/interim/external_knowledge_v055/mapping/gene_id_mapping_table.tsv	75f3c7c2b81837ee0ec94c17b73ba36ae6e7c3f93192840399e8887553c77e00	2026-05-16T12:06:47.925556+00:00	id_mapping_resource	evaluation_reference;explanation;case_study;development_evidence_candidate	license/terms not reinterpreted in this processing step; review source pages before redistribution	scripts/external_knowledge/build_gene_id_mapping_table.py	external knowledge resource only; not training label
RAP-DB	IRGSP-1.0 2026-02-05	data/raw/external_knowledge/rapdb/curated_genes.json	data/interim/external_knowledge_v055/evidence/known_gene_evidence_table.tsv	029b3a2ab2737e801046daf6735f81b8e1ea813f28407f011eabeea4faf40b01	2026-05-16T12:06:52.850218+00:00	known_gene_database	evaluation_reference;explanation;case_study;development_evidence_candidate	license/terms not reinterpreted in this processing step; review source pages before redistribution	scripts/external_knowledge/build_known_gene_evidence_table.py	external knowledge resource only; not training label
RAP-DB	IRGSP-1.0 2026-02-05	data/raw/external_knowledge/rapdb/agri_genes.json	data/interim/external_knowledge_v055/evidence/known_gene_evidence_table.tsv	798b0766be73e63918ad75f788df101a82978a8b581df51b69cbda70cc9bd84a	2026-05-16T12:06:54.680061+00:00	known_gene_database	evaluation_reference;explanation;case_study;development_evidence_candidate	license/terms not reinterpreted in this processing step; review source pages before redistribution	scripts/external_knowledge/build_known_gene_evidence_table.py	external knowledge resource only; not training label
funRiceGenes	public static site accessed 2026-05-16	data/raw/external_knowledge/funricegenes/geneInfo.table.txt	data/interim/external_knowledge_v055/evidence/known_gene_evidence_table.tsv	42780812a525bb97dc6a7e5d231b3c1052326297bdc40dd5c80d79b72648b5b3	2026-05-16T12:06:59.521344+00:00	known_gene_database	evaluation_reference;explanation;case_study;development_evidence_candidate	license/terms not reinterpreted in this processing step; review source pages before redistribution	scripts/external_knowledge/build_known_gene_evidence_table.py	external knowledge resource only; not training label
funRiceGenes	public static site accessed 2026-05-16	data/raw/external_knowledge/funricegenes/geneKeyword.table.txt	data/interim/external_knowledge_v055/evidence/known_gene_evidence_table.tsv	f8afbb50298442cdd3689d3c5c015348e2c62b08d7de6ba7a7dd2ab196456210	2026-05-16T12:07:02.679840+00:00	external_trait_gene_knowledge	evaluation_reference;explanation;case_study;development_evidence_candidate	license/terms not reinterpreted in this processing step; review source pages before redistribution	scripts/external_knowledge/build_known_gene_evidence_table.py	external knowledge resource only; not training label
funRiceGenes	public static site accessed 2026-05-16	data/raw/external_knowledge/funricegenes/famInfo.table.txt	data/interim/external_knowledge_v055/mapping/gene_id_mapping_table.tsv	af63212decf89d65d7b52dcec0face372382be307b993b5ca4cc33f086679682	2026-05-16T12:07:00.549558+00:00	id_mapping_resource	evaluation_reference;explanation;case_study;development_evidence_candidate	license/terms not reinterpreted in this processing step; review source pages before redistribution	scripts/external_knowledge/build_gene_id_mapping_table.py	external knowledge resource only; not training label
MSU_RGAP	Release 7	data/raw/external_knowledge/msu_rgAP/osa1_r7.all_models.gff3.gz	data/interim/external_knowledge_v055/annotation/gene_annotation_table.tsv	e8421ecfa75bb68f7c38ab270c1188bf5966b2bfa10a0e94da6db5d92b3462b3	2026-05-16T12:07:19.174487+00:00	gene_annotation	evaluation_reference;explanation;case_study;development_evidence_candidate	license/terms not reinterpreted in this processing step; review source pages before redistribution	scripts/external_knowledge/build_gene_annotation_table.py	external knowledge resource only; not training label
MSU_RGAP	Release 7	data/raw/external_knowledge/msu_rgAP/osa1_r7.locus_brief_info.txt.gz	data/interim/external_knowledge_v055/annotation/gene_annotation_table.tsv	d4223e46a02be86d5ef0db86c9eda64ee9aabe3d04148f24a463f57147253eb7	2026-05-16T12:07:24.644115+00:00	gene_annotation	evaluation_reference;explanation;case_study;development_evidence_candidate	license/terms not reinterpreted in this processing step; review source pages before redistribution	scripts/external_knowledge/build_gene_annotation_table.py	external knowledge resource only; not training label
