left_set	right_set	n_left	n_right	n_intersection_raw	n_intersection_normalized	jaccard_raw	jaccard_normalized	example_matches	example_left_only	example_right_only	notes
snp_samples	indel_samples	3025	3023	3023	3023	0.999339	0.999339	B001,B002,B003,B004,B005,B006,B007,B008,B009,B010,...(+3013)	IRIS_313-8921,SAMPLE_DUMM_dummy		normalized overlap uses case/symbol stripping; not a validated accession mapping
snp_samples	plink_samples	3025	3024	3024	3024	0.999669	0.999669	B001,B002,B003,B004,B005,B006,B007,B008,B009,B010,...(+3014)	SAMPLE_DUMM_dummy		normalized overlap uses case/symbol stripping; not a validated accession mapping
snp_samples	trait_accessions	3025	8946	0	0	0.000000	0.000000		B001,B002,B003,B004,B005,B006,B007,B008,B009,B010,...(+3015)	1,100,1000,1001,1002,1003,1004,1005,1006,1007,...(+8936)	normalized overlap uses case/symbol stripping; not a validated accession mapping
snp_samples	metadata_accessions	3025	4591	3023	3023	0.658175	0.658175	B001,B002,B003,B004,B005,B006,B007,B008,B009,B010,...(+3013)	IRIS_313-8921,SAMPLE_DUMM_dummy	006dfe9b.0,00794e86.0,00a48c38.0,00d9174a.0,00df5fd9.0,00eb64ff.0,012f5783.0,012f96c4.0,013ef6b2.0,014ab0f1.0,...(+1558)	normalized overlap uses case/symbol stripping; not a validated accession mapping
indel_samples	plink_samples	3023	3024	3023	3023	0.999669	0.999669	B001,B002,B003,B004,B005,B006,B007,B008,B009,B010,...(+3013)		IRIS_313-8921	normalized overlap uses case/symbol stripping; not a validated accession mapping
indel_samples	trait_accessions	3023	8946	0	0	0.000000	0.000000		B001,B002,B003,B004,B005,B006,B007,B008,B009,B010,...(+3013)	1,100,1000,1001,1002,1003,1004,1005,1006,1007,...(+8936)	normalized overlap uses case/symbol stripping; not a validated accession mapping
indel_samples	metadata_accessions	3023	4591	3023	3023	0.658462	0.658462	B001,B002,B003,B004,B005,B006,B007,B008,B009,B010,...(+3013)		006dfe9b.0,00794e86.0,00a48c38.0,00d9174a.0,00df5fd9.0,00eb64ff.0,012f5783.0,012f96c4.0,013ef6b2.0,014ab0f1.0,...(+1558)	normalized overlap uses case/symbol stripping; not a validated accession mapping
plink_samples	trait_accessions	3024	8946	0	0	0.000000	0.000000		B001,B002,B003,B004,B005,B006,B007,B008,B009,B010,...(+3014)	1,100,1000,1001,1002,1003,1004,1005,1006,1007,...(+8936)	normalized overlap uses case/symbol stripping; not a validated accession mapping
plink_samples	metadata_accessions	3024	4591	3023	3023	0.658319	0.658319	B001,B002,B003,B004,B005,B006,B007,B008,B009,B010,...(+3013)	IRIS_313-8921	006dfe9b.0,00794e86.0,00a48c38.0,00d9174a.0,00df5fd9.0,00eb64ff.0,012f5783.0,012f96c4.0,013ef6b2.0,014ab0f1.0,...(+1558)	normalized overlap uses case/symbol stripping; not a validated accession mapping
trait_accessions	metadata_accessions	8946	4591	0	0	0.000000	0.000000		1,100,1000,1001,1002,1003,1004,1005,1006,1007,...(+8936)	006dfe9b.0,00794e86.0,00a48c38.0,00d9174a.0,00df5fd9.0,00eb64ff.0,012f5783.0,012f96c4.0,013ef6b2.0,014ab0f1.0,...(+4581)	normalized overlap uses case/symbol stripping; not a validated accession mapping
