source_type	source_file	chrom_values	n_chrom_values	n_matching_reference	n_not_matching_reference	example_not_matching	notes
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NC_029256.1	1	1	0		NC_029256.1 Oryza sativa Japonica Group cultivar Nipponbare chromosome 1, IRGSP-1.0
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NC_029257.1	1	1	0		NC_029257.1 Oryza sativa Japonica Group cultivar Nipponbare chromosome 2, IRGSP-1.0
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NC_029258.1	1	1	0		NC_029258.1 Oryza sativa Japonica Group cultivar Nipponbare chromosome 3, IRGSP-1.0
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NC_029259.1	1	1	0		NC_029259.1 Oryza sativa Japonica Group cultivar Nipponbare chromosome 4, IRGSP-1.0
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NC_029260.1	1	1	0		NC_029260.1 Oryza sativa Japonica Group cultivar Nipponbare chromosome 5, IRGSP-1.0
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NC_029261.1	1	1	0		NC_029261.1 Oryza sativa Japonica Group cultivar Nipponbare chromosome 6, IRGSP-1.0
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NC_029262.1	1	1	0		NC_029262.1 Oryza sativa Japonica Group cultivar Nipponbare chromosome 7, IRGSP-1.0
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NC_029263.1	1	1	0		NC_029263.1 Oryza sativa Japonica Group cultivar Nipponbare chromosome 8, IRGSP-1.0
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NC_029264.1	1	1	0		NC_029264.1 Oryza sativa Japonica Group cultivar Nipponbare chromosome 9, IRGSP-1.0
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NC_029265.1	1	1	0		NC_029265.1 Oryza sativa Japonica Group cultivar Nipponbare chromosome 10, IRGSP-1.0
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NC_029266.1	1	1	0		NC_029266.1 Oryza sativa Japonica Group cultivar Nipponbare chromosome 11, IRGSP-1.0
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NC_029267.1	1	1	0		NC_029267.1 Oryza sativa Japonica Group cultivar Nipponbare chromosome 12, IRGSP-1.0
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NW_015379186.1	1	1	0		NW_015379186.1 Oryza sativa Japonica Group cultivar Nipponbare unplaced genomic scaffold, IRGSP-1.0 Syng_TIGR_050
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NW_015379187.1	1	1	0		NW_015379187.1 Oryza sativa Japonica Group cultivar Nipponbare unplaced genomic scaffold, IRGSP-1.0 Syng_TIGR_049
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NW_015379188.1	1	1	0		NW_015379188.1 Oryza sativa Japonica Group cultivar Nipponbare unplaced genomic scaffold, IRGSP-1.0 Syng_TIGR_048
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NW_015379189.1	1	1	0		NW_015379189.1 Oryza sativa Japonica Group cultivar Nipponbare unplaced genomic scaffold, IRGSP-1.0 Syng_TIGR_047
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NW_015379190.1	1	1	0		NW_015379190.1 Oryza sativa Japonica Group cultivar Nipponbare unplaced genomic scaffold, IRGSP-1.0 Syng_TIGR_046
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NW_015379191.1	1	1	0		NW_015379191.1 Oryza sativa Japonica Group cultivar Nipponbare unplaced genomic scaffold, IRGSP-1.0 Syng_TIGR_045
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NW_015379192.1	1	1	0		NW_015379192.1 Oryza sativa Japonica Group cultivar Nipponbare unplaced genomic scaffold, IRGSP-1.0 Syng_TIGR_044
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NW_015379193.1	1	1	0		NW_015379193.1 Oryza sativa Japonica Group cultivar Nipponbare unplaced genomic scaffold, IRGSP-1.0 Syng_TIGR_043
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NW_015379194.1	1	1	0		NW_015379194.1 Oryza sativa Japonica Group cultivar Nipponbare unplaced genomic scaffold, IRGSP-1.0 Syng_TIGR_042
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NW_015379195.1	1	1	0		NW_015379195.1 Oryza sativa Japonica Group cultivar Nipponbare unplaced genomic scaffold, IRGSP-1.0 Syng_TIGR_041
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NW_015379196.1	1	1	0		NW_015379196.1 Oryza sativa Japonica Group cultivar Nipponbare unplaced genomic scaffold, IRGSP-1.0 Syng_TIGR_039
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NW_015379197.1	1	1	0		NW_015379197.1 Oryza sativa Japonica Group cultivar Nipponbare unplaced genomic scaffold, IRGSP-1.0 Syng_TIGR_038
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NW_015379198.1	1	1	0		NW_015379198.1 Oryza sativa Japonica Group cultivar Nipponbare unplaced genomic scaffold, IRGSP-1.0 Syng_TIGR_037
reference_chromosomes	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	NW_015379199.1	1	1	0		NW_015379199.1 Oryza sativa Japonica Group cultivar Nipponbare unplaced genomic scaffold, IRGSP-1.0 Syng_TIGR_036
