trait_id	trait_name	trait_state	n_samples	fraction	notes
data_lt_2007__spkf	SPKF	3	1474	0.703916	code_meaning=FERTILE (75-90%)
data_lt_2007__spkf	SPKF	1	311	0.14852	code_meaning=HIGHLY FERTILE (>90%)
data_lt_2007__spkf	SPKF	5	267	0.127507	code_meaning=PARTLY STERILE (50-74%)
data_lt_2007__spkf	SPKF	7	41	0.01958	code_meaning=HIGHLY STERILE (<50% TO TRACE)
data_lt_2007__spkf	SPKF	9	1	0.000478	code_meaning=COMPLETELY STERILE (0%)
data_lt_2007__fla_repro	FLA_REPRO	5	1035	0.494742	code_meaning=HORIZONTAL
data_lt_2007__fla_repro	FLA_REPRO	3	593	0.283461	code_meaning=INTERMEDIATE
data_lt_2007__fla_repro	FLA_REPRO	1	304	0.145315	code_meaning=ERECT
data_lt_2007__fla_repro	FLA_REPRO	7	160	0.076482	code_meaning=DESCENDING
data_lt_2007__cult_code_repro	CULT_CODE_REPRO	5	540	0.260241	code_meaning=111-130 CM
data_lt_2007__cult_code_repro	CULT_CODE_REPRO	6	496	0.239036	code_meaning=131-150 CM
data_lt_2007__cult_code_repro	CULT_CODE_REPRO	4	429	0.206747	code_meaning=91-110 CM
data_lt_2007__cult_code_repro	CULT_CODE_REPRO	3	228	0.10988	code_meaning=71-90 CM
data_lt_2007__cult_code_repro	CULT_CODE_REPRO	7	212	0.102169	code_meaning=> 150 CM
data_lt_2007__cult_code_repro	CULT_CODE_REPRO	2	148	0.071325	code_meaning=51-70 CM
data_lt_2007__cult_code_repro	CULT_CODE_REPRO	1	22	0.010602	code_meaning=< 51 CM
data_lt_2007__llt_code	LLT_CODE	3	1091	0.52553	code_meaning=INTERMEDIATE (41-60 CM)
data_lt_2007__llt_code	LLT_CODE	4	690	0.33237	code_meaning=LONG (61-80 CM)
data_lt_2007__llt_code	LLT_CODE	2	265	0.127649	code_meaning=SHORT (21-40 CM)
data_lt_2007__llt_code	LLT_CODE	5	26	0.012524	code_meaning=EXTRA LONG (>80 CM)
data_lt_2007__llt_code	LLT_CODE	1	4	0.001927	code_meaning=VERY SHORT (<21 CM)
data_lt_2007__pex_repro	PEX_REPRO	1	1250	0.596659	code_meaning=WELL EXSERTED (1)
data_lt_2007__pex_repro	PEX_REPRO	3	433	0.206683	code_meaning=MODERATELY WELL EXSERTED (3)
data_lt_2007__pex_repro	PEX_REPRO	5	188	0.089737	code_meaning=JUST EXSERTED (5)
data_lt_2007__pex_repro	PEX_REPRO	7	170	0.081146	code_meaning=PARTLY EXSERTED (7)
data_lt_2007__pex_repro	PEX_REPRO	9	28	0.013365	code_meaning=ENCLOSED
data_lt_2007__pex_repro	PEX_REPRO	4	12	0.005728	code_meaning=MODERATELY WELL EXSERTED (4)
data_lt_2007__pex_repro	PEX_REPRO	6	10	0.004773	code_meaning=JUST EXSERTED (6)
data_lt_2007__pex_repro	PEX_REPRO	2	4	0.001909	code_meaning=WELL EXSERTED (2)
data_lt_2007__lsen	LSEN	1	970	0.46345	code_meaning=LATE AND SLOW (1)
data_lt_2007__lsen	LSEN	5	412	0.196847	code_meaning=INTERMEDIATE (5)
data_lt_2007__lsen	LSEN	3	392	0.187291	code_meaning=LATE AND SLOW (3)
data_lt_2007__lsen	LSEN	7	162	0.077401	code_meaning=EARLY AND FAST (7)
data_lt_2007__lsen	LSEN	9	140	0.06689	code_meaning=EARLY AND FAST (9)
