column_index	column_name	non_empty_count	example_values	role_guess	notes
1	Trait Gene Id	22015	1,2,3,4,5	unclassified	field inventory only; not a benchmark schema
2	CGSNL Gene Symbol	22015	[CMS-54257],[CMS-AK]([CMS-JP]),[CMS-ARC],[CMS-BO],[CMS-CW]	gene_symbol	field inventory only; not a benchmark schema
3	Gene symbol synonym(s)	20586	[cms-54257]*, [cms-54257],[cms-ak]([cms-jp]), [cms-jp], [cms-ak],[cms-ARC]*, [cms-ARC] [mt], [cms-ARC],[cms-bo],[cms-CW]	gene_symbol	field inventory only; not a benchmark schema
4	CGSNL Gene Name	21985	CYTOPLASMIC MALE STERILITY 54257,CYTOPLASMIC MALE STERILITY AK,CYTOPLASMIC MALE STERILITY ARC,CYTOPLASMIC MALE STERILITY BO,CYTOPLASMIC MALE STERILITY CW	unclassified	field inventory only; not a benchmark schema
5	Gene name synonym(s)	20126	Cytoplasmic mutant induced by somaclonal variation,Akebono' cytoplasm, 'Akebono' cytoplasm,ARC13829-16 cytoplasm, `ARC13829-26' cytoplasm,Chinsurah boro II' cytoplasm, `Chinsurah boro 2' cytoplasm, 'Chinsurah boro II' cytoplasm,Chinese wild rice cytoplasm	unclassified	field inventory only; not a benchmark schema
6	Protein Name	12015	ACID PHOSPHATASE 3,CELLULOSE SYNTHASE A9,CHITINASE 4,COFACTOR FOR NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 1,COFACTOR FOR NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE  2	unclassified	field inventory only; not a benchmark schema
7	Allele	2777	apd1-1,cesa9, Bc6, bc6, Osfc16, bc88, sdbc1,chs2-B, chs2-C,cim, Cim,cle1-1, cle1-2, cle1-3, cle1-4, cle1-5	unclassified	field inventory only; not a benchmark schema
8	Chromosome No.	20264	Mt,9,4,12,6	chromosome	field inventory only; not a benchmark schema
9	Explanation	16501	"PO:0009066; anther.,PO:0006452; microspore (sensu Poaceae) ; PO:0006318; floret (sensu Poaceae). GRO:0007148; 05-booting stage.,PO:0006452; microspore (sensu Poaceae) ; PO:0006318; floret (sensu Poaceae). GRO:0007148; 05-booting stage. X52160 (urf-rmc, chimeric atp6).,PO:0006452; microspore (sensu Poaceae) ; PO:0009006; shoot ; PO:0009005; root ; PO:0006318; floret (sensu Poaceae). GRO:0007148; 05-booting stage ; GRO:0007047; 02-seedling. Kalinga I cytoplasm.,PO:0006452; microspore (sensu Poaceae) ; PO:0006318; floret (sensu Poaceae). GRO:0007148; 05-booting stage.WA derived from \wild abortive\"", a wild sterile plant found in Hainan Island, China."""	unclassified	field inventory only; not a benchmark schema
10	Trait Class	16665	Reproductive organ - Pollination, fertilization, fertility - Male sterility,Reproductive organ - Heading date,Biochemical character,Seed - Physiological traits - Storage substances,Seed - Morphological traits - Embryo	trait_class	field inventory only; not a benchmark schema
11	RAP ID	15669	Os09g0422500,Os04g0431700,Os12g0559400,Os04g0493400,Os02g0477700	rap_id	field inventory only; not a benchmark schema
12	MSU ID	16185	LOC_Os09g25490.1,LOC_Os04g35210.1,LOC_Os12g37280.1, LOC_Os12g37290.1,LOC_Os04g41620.1,LOC_Os02g27620.1, LOC_Os02g27620.2	msu_id	field inventory only; not a benchmark schema
13	Gramene ID	1669	GR:0060167,GR:0060144,GR:0060145,GR:0060146,GR:0060147	unclassified	field inventory only; not a benchmark schema
14	Arm	842	1,0	unclassified	field inventory only; not a benchmark schema
15	Locate(cM)	233	90.0,12.2,72.0,26.0,35.0	unclassified	field inventory only; not a benchmark schema
16	Gene Ontology	17198	GO:0007275 - multicellular organismal development, GO:0000001 - mitochondrion inheritance,GO:0007275 - multicellular organismal development,GO:0005739 - mitochondrion, GO:0007275 - multicellular organismal development,GO:0007275 - multicellular organismal development, GO:0009409 - response to cold,GO:0003700 - transcription factor activity	unclassified	field inventory only; not a benchmark schema
17	Trait Ontology	8498	TO:0000232 - cytoplasmic male sterility (sensu Oryza),TO:0000280 - seedling vigor, TO:0000303 - cold tolerance, TO:0000232 - cytoplasmic male sterility (sensu Oryza),TO:0000137 - days to heading,TO:0000487 - endosperm color, TO:0000587 - endosperm quality, TO:0000098 - glutinous endosperm, TO:0000196 - amylose content,TO:0000587 - endosperm quality, TO:0000196 - amylose content, TO:0000487 - endosperm color, TO:0000098 - glutinous endosperm	trait_ontology	field inventory only; not a benchmark schema
18	Plant Ontology	5608	PO:0009066 - anther,PO:0009082 - spikelet floret , PO:0020048 - microspore,PO:0020048 - microspore , PO:0009082 - spikelet floret,PO:0009006 - shoot system , PO:0009005 - root , PO:0020048 - microspore , PO:0009082 - spikelet floret,PO:0009049 - inflorescence	unclassified	field inventory only; not a benchmark schema
