trait_class	n_gene_rows	n_gene_symbols	n_rap_ids	n_msu_ids	chrom_values	example_gene_symbols	example_rap_ids	example_trait_ontology	evidence_tier	notes
unclassified	5350	2731	4181	4551	1,10,11,12,2,3,4,5,6,7,8,9,Mt,Pt	qCL-1,qCL-7,qCT-1,qCT-11,qCT-7	Os02g0631700,Os08g0377200,Os08g0358800,Os02g0830200,Os04g0524300	TO:0000167 - cytokinin sensitivity, TO:0000163 - auxin sensitivity,TO:0000167 - cytokinin sensitivity,TO:0000163 - auxin sensitivity, TO:0000167 - cytokinin sensitivity, TO:0000173 - ethylene sensitivity	Tier 1 known/cloned trait gene	trait-gene summary for inventory only; not causal ground truth
Biochemical character	3570	2721	2954	3058	1,10,11,12,2,3,4,5,6,7,8,9,Mt,Pt	ACP3,CNX1,CNX2,CNX3,DIA1	Os01g0357400,Os02g0718900,Os03g0718100,Os03g0719800,Os05g0491100	TO:0000172 - jasmonic acid sensitivity,TO:0000166 - gibberellic acid sensitivity,TO:0000112 - disease resistance	Tier 1 known/cloned trait gene	trait-gene summary for inventory only; not causal ground truth
Other	2281	1778	419	466	1,10,11,12,2,3,4,5,6,7,8,9,Mt,Pt	ROC1,ROC2,MADS31,MADS33,MADS35	Os08g0187500,Os04g0627000,Os04g0614100,Os12g0206800,Os03g0183100	TO:0002677 - brassinosteroid sensitivity, TO:0000492 - leaf shape, TO:0000064 - embryo related trait,TO:0000064 - embryo related trait, TO:0000492 - leaf shape,TO:0000172 - jasmonic acid sensitivity	Tier 1 known/cloned trait gene	trait-gene summary for inventory only; not causal ground truth
Tolerance and resistance - Stress tolerance	1406	1047	1231	1225	1,10,11,12,2,3,4,5,6,7,8,9	BZS,CTB,CTS1,CTS2,HPR1	Os11g0256900,Os07g0650600,Os05g0519700,Os01g0136100,Os01g0136000	TO:0000058 - herbicide sensitivity,TO:0000303 - cold tolerance,TO:0000482 - chemical stress sensitivity	Tier 1 known/cloned trait gene	trait-gene summary for inventory only; not causal ground truth
Biochemical character,  Tolerance and resistance - Stress tolerance	675	578	657	660	1,10,11,12,2,3,4,5,6,7,8,9,Pt	POX1,HSP2*,HSP4*,ALDC1,AMT1;2	Os05g0499300,Os01g0905800,Os02g0620600,Os12g0210200,Os12g0210300	TO:0000259 - heat tolerance, TO:0000303 - cold tolerance,TO:0000432 - temperature response trait, TO:0000259 - heat tolerance,TO:0000259 - heat tolerance, TO:0000432 - temperature response trait	Tier 1 known/cloned trait gene	trait-gene summary for inventory only; not causal ground truth
Tolerance and resistance - Stress tolerance,  Biochemical character	666	565	653	650	1,10,11,12,2,3,4,5,6,7,8,9	EM,SAL2,PDC2,EXPA2,NHX1	Os05g0349800,Os03g0293500,Os01g0823100,Os07g0666900,Os07g0689600	TO:0006001 - salt tolerance, TO:0000095 - osmotic response sensitivity, TO:0000237 - water stress trait, TO:0000615 - abscisic acid sensitivity, TO:0000276 - drought tolerance, TO:0000303 - cold tolerance,TO:0000429 - salt sensitivity,TO:0000021 - copper sensitivity	Tier 1 known/cloned trait gene	trait-gene summary for inventory only; not causal ground truth
Tolerance and resistance - Disease resistance	632	477	314	315	1,10,11,12,2,3,4,5,6,7,8,9	BSV,CE,GSV,HE,PII	Os01g0782100,Os09g0327600,Os01g0149500,Os04g0622600,Os06g0146100	TO:0000020 - black streak dwarf virus resistance,TO:0000422 - narrow brown leaf spot disease resistance,TO:0000213 - rice grassy stunt 1 and 2 virus resistance, TO:0000127 - rice grassy stunt virus-1 resistance	Tier 1 known/cloned trait gene	trait-gene summary for inventory only; not causal ground truth
Reproductive organ - Spikelet, flower, glume, awn	261	77	194	220	1,10,11,12,2,3,4,5,6,7,8,9	ANA,ANB,BD2,CLW,FOR1	Os07g0466300,Os06g0712700,Os08g0546300,Os12g0611000,Os03g0125800	TO:0000146 - seed length, TO:0000072 - awn length,TO:0000072 - awn length, TO:0000146 - seed length,TO:0000079 - lemma and palea anatomy and morphology trait	Tier 1 known/cloned trait gene	trait-gene summary for inventory only; not causal ground truth
Character as QTL - Yield and productivity	223	219	6	6	1,10,11,12,2,3,4,5,6,7,8,9	qYD-7-1 (yd7a),qYD-8 (yd8),qYD-6 (yd6),qYD-7-2 (yd7b),qTP-1 (tp1)	Os04g0568400,Os07g0471900,Os02g0566500,Os08g0224300,Os01g0931600	TO:0000396 - grain yield, TO:0002759 - grain number,TO:0000316 - photosynthetic ability, TO:0000457 - total biomass yield,TO:0002759 - grain number, TO:0000396 - grain yield	Tier 1 known/cloned trait gene	trait-gene summary for inventory only; not causal ground truth
Reproductive organ - Pollination, fertilization, fertility - Male sterility	186	162	37	35	1,10,11,12,2,3,4,5,6,7,8,9,Mt	[CMS-54257],[CMS-AK]([CMS-JP]),[CMS-ARC],[CMS-BO],[CMS-CW]	Os12g0545900,Os06g0607900,Os04g0475900,Os01g0929600,Os02g0313400	TO:0000232 - cytoplasmic male sterility (sensu Oryza),TO:0000280 - seedling vigor, TO:0000303 - cold tolerance, TO:0000232 - cytoplasmic male sterility (sensu Oryza),TO:0000437 - male sterility, TO:0000199 - genic male sterility	Tier 1 known/cloned trait gene	trait-gene summary for inventory only; not causal ground truth
Vegetative organ - Culm	166	155	37	36	1,10,11,12,2,3,4,5,6,7,8,9	AO,D12,D13,D19,D22	Os02g0477700,Os03g0416200,Os10g0498000,Os03g0301200,Os09g0437400	TO:0000135 - leaf length, TO:0000089 - panicle type, TO:0000370 - leaf width, TO:0000152 - panicle number, TO:0000145 - internode length,TO:0000050 - inflorescence branching, TO:0000576 - stem length, TO:0000124 - flag leaf angle, TO:0000303 - cold tolerance, TO:0000040 - panicle length, TO:0000346 - tiller number, TO:0000145 - internode length, TO:0000068 - lodging incidence, TO:0000207 - plant height, TO:0000432 - temperature response trait, TO:0000227 - root length, TO:0000166 - gibberellic acid sensitivity, TO:0000447 - filled grain number,TO:0000576 - stem length, TO:0000089 - panicle type, TO:0000391 - seed size, TO:0000342 - panicle axis angle, TO:0000207 - plant height, TO:0000040 - panicle length	Tier 1 known/cloned trait gene	trait-gene summary for inventory only; not causal ground truth
Character as QTL - Plant growth activity	163	163	8	8	1,10,11,12,2,3,4,5,6,7,8,9	qTDW-1-1 (qTDW1-1),qTDW-1-2 (qTDW1-2),qTDW-3-1 (qTDW3-1),qTDW-5-1 (qTDW5-1),qTDW-5-2 (qTDW5-2)	Os11g0671000,Os02g0554300,Os01g0685900,Os01g0737900,Os08g0290100	TO:0000163 - auxin sensitivity, TO:0000357 - growth and development trait,TO:0000357 - growth and development trait,TO:0000357 - growth and development trait, TO:0000019 - seedling height, TO:0000571 - shoot fresh weight	Tier 1 known/cloned trait gene	trait-gene summary for inventory only; not causal ground truth
Tolerance and resistance - Insect resistance	154	136	42	43	1,10,11,12,2,3,4,5,6,7,8,9	BPH5,BPH6,BPH7,BPH8,BPH9	Os04g0431700,Os12g0559400,Os06g0493100,Os03g0430400,Os07g0676600	TO:0000424 - brown planthopper resistance,TO:0000205 - white-backed planthopper resistance, TO:0000424 - brown planthopper resistance,TO:0000424 - brown planthopper resistance, TO:0000172 - jasmonic acid sensitivity	Tier 1 known/cloned trait gene	trait-gene summary for inventory only; not causal ground truth
Reproductive organ - Heading date	150	145	33	31	1,10,11,12,2,3,4,5,6,7,8,9	ACEF1,E2,EF2,EF3,EF4	Os03g0762000,GR:0061166,Os09g0123200,Os11g0152500,Os10g0419200	TO:0000137 - days to heading,TO:0000469 - days to maturity, TO:0000137 - days to heading, TO:0000229 - photoperiod sensitivity,TO:0000137 - days to heading, TO:0000229 - photoperiod sensitivity	Tier 1 known/cloned trait gene	trait-gene summary for inventory only; not causal ground truth
