download_id	source_id	data_category	file_role	original_filename	local_path	download_url_or_access_method	access_method_type	download_command	download_status	file_size_bytes	checksum_sha256	download_started_at	download_finished_at	source_version	reference_build	notes
DL_ACC_METADATA_001	SRC_3K_ACCESSION_METADATA_001	accession_metadata	accession_metadata_export	to_be_confirmed	data/raw/accessions/	https://snp-seek.irri.org/	database	DRY_RUN: manually confirm SNP-Seek mirror/export endpoint before download	planned					to_be_confirmed	not_applicable	Planned only; not Phase 2C-ready because exact accession metadata export URL is not confirmed
DL_SNP_3K_001	SRC_3K_SNP_GENOTYPE_001	snp_genotype	snp_genotype_archive	to_be_confirmed	data/raw/variants/snp/	s3://3kricegenome/snpseek-dl/3krg-base-filt-core-v0.7/	s3	DRY_RUN: aws s3 ls prefix first; only Phase 2C may use aws s3 cp after exact files are confirmed	planned					to_be_confirmed	Nipponbare / IRGSP-1.0	Planned only; exact SNP file list and checksum required before download
DL_INDEL_3K_001	SRC_3K_INDEL_GENOTYPE_002	indel_genotype	indel_or_joint_vcf	to_be_confirmed	data/raw/variants/indel/	s3://3kricegenome/VCF/	s3	DRY_RUN: aws s3 ls VCF prefix first; only Phase 2C may download confirmed files	planned					to_be_confirmed	Nipponbare / IRGSP-1.0	Planned only; exact indel/joint VCF files, accession layout and indel representation are unresolved
DL_ANNOT_NCBI_001	SRC_GENE_ANNOTATION_001	gene_annotation	gene_annotation	to_be_confirmed	data/raw/annotation/	https://www.ncbi.nlm.nih.gov/refseq/annotation_euk/Oryza_sativa_Japonica_Group/102/	https	DRY_RUN: confirm annotation package and release before download	planned					Annotation Release 102	IRGSP-1.0	Planned only; P1 annotation candidate
DL_QTL_QTARO_001	SRC_WEAK_QTL_001	weak_evidence	qtl_intervals	to_be_confirmed	data/raw/evidence/qtl/	https://dbarchive.biosciencedbc.jp/en/qtaro/desc.html	https	DRY_RUN: confirm export method and coordinate build before download	planned					to_be_confirmed	mixed	Planned only; landing page only, not Phase 2C-ready
DL_KNOWN_GENES_001	SRC_WEAK_KNOWN_GENES_001	weak_evidence	known_trait_genes	to_be_confirmed	data/raw/evidence/known_genes/	to_be_verified	database	DRY_RUN: identify database export before download	planned					to_be_confirmed	mixed	Planned only; known genes are weak evidence, not causal ground truth
FD_CAND_AUTO_0032	SRC_3K_ACCESSION_METADATA_001	accession_metadata	accession_metadata_archive	RICE_RP.tar.gz	data/raw/accessions/RICE_RP.tar.gz	s3://3kricegenome/snpseek-dl/RICE_RP.tar.gz	s3	fast_download_selected_data.sh --execute	downloaded	986533366	c49c7490d44454b247c712a607e0a4d9ee8d3240ebf1c48dae19ea981aacb6c3		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	to_be_confirmed	fast_download
FD_CAND_REF_MD5_GCF001433935	SRC_REF_IRGSP_FASTA_003	metadata	reference_md5	GCF_001433935.1_IRGSP-1.0_md5checksums.txt	data/raw/checksums/GCF_001433935.1_IRGSP-1.0_md5checksums.txt	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/935/GCF_001433935.1_IRGSP-1.0/md5checksums.txt	https	fast_download_selected_data.sh --execute	downloaded	12720	8e801be0463e0b07eace8d6947e58199d59c4b850e12f4c56ba35cf0af54af9d		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	IRGSP-1.0	fast_download
FD_RAW_0003	auto_discovered	auto_discovered	auto_discovered	aws_3kricegenome_reduced.txt	data/raw/listings/aws_3kricegenome_reduced.txt	unknown	unknown	fast_download_selected_data.sh --execute	downloaded	2011	e6cf545244633c01b33e7f7af8d688ab8f3431aaac9a9c46c4ff2ea481eb5b1f		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	to_be_confirmed	fast_download; source_id requires later curation
FD_RAW_0004	auto_discovered	auto_discovered	auto_discovered	aws_3kricegenome_reduced_recursive.txt	data/raw/listings/aws_3kricegenome_reduced_recursive.txt	unknown	unknown	fast_download_selected_data.sh --execute	downloaded	2299	65de7ce37aafa35b02482835d0b549eefa0e28473b03a1b653152b89cc0695a0		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	to_be_confirmed	fast_download; source_id requires later curation
FD_RAW_0005	auto_discovered	auto_discovered	auto_discovered	aws_3kricegenome_root.txt	data/raw/listings/aws_3kricegenome_root.txt	unknown	unknown	fast_download_selected_data.sh --execute	downloaded	1801	44d1a05e31fb7c737647ce6ebea7a65b9f494b1b27b64f57908b7bb3a8957c36		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	to_be_confirmed	fast_download; source_id requires later curation
