object_id	object_type	chrom	start	end	missingness_rate	callability_proxy	chr1_snp_coverage	window_coverage	variant_coverage	mappability_proxy	low_complexity_or_repeat_proxy	database_detectability_proxy	detectability_score	detectability_fields_available	notes	pipeline_version
OBJ_GENE_00000001	gene	1	35623	41136	unavailable	chr1_snp_variant_coverage	1	1	1	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000002	gene	1	72823	77699	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000003	gene	1	89763	91521	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000004	gene	1	134300	135439	unavailable	chr1_snp_variant_coverage	0	2	0	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000005	gene	1	139826	141555	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000006	gene	1	151409	156449	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000007	gene	1	169390	170316	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000008	gene	1	178607	180548	unavailable	chr1_snp_variant_coverage	2	2	2	unavailable	unavailable	0.219722	0.378101	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000009	gene	1	209771	214173	unavailable	chr1_snp_variant_coverage	3	2	3	unavailable	unavailable	0.219722	0.408488	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000010	gene	1	216126	217664	unavailable	chr1_snp_variant_coverage	0	2	0	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
