download_id	source_id	data_category	file_role	original_filename	local_path	download_url_or_access_method	access_method_type	download_command	download_status	file_size_bytes	checksum_sha256	download_started_at	download_finished_at	source_version	reference_build	notes
FD_CAND_AUTO_0032	SRC_3K_ACCESSION_METADATA_001	accession_metadata	accession_metadata_archive	RICE_RP.tar.gz	data/raw/accessions/RICE_RP.tar.gz	s3://3kricegenome/snpseek-dl/RICE_RP.tar.gz	s3	fast_download_selected_data.sh --execute	downloaded	986533366	c49c7490d44454b247c712a607e0a4d9ee8d3240ebf1c48dae19ea981aacb6c3		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	to_be_confirmed	fast_download
FD_CAND_REF_MD5_GCF001433935	SRC_REF_IRGSP_FASTA_003	metadata	reference_md5	GCF_001433935.1_IRGSP-1.0_md5checksums.txt	data/raw/checksums/GCF_001433935.1_IRGSP-1.0_md5checksums.txt	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/935/GCF_001433935.1_IRGSP-1.0/md5checksums.txt	https	fast_download_selected_data.sh --execute	downloaded	12720	8e801be0463e0b07eace8d6947e58199d59c4b850e12f4c56ba35cf0af54af9d		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	IRGSP-1.0	fast_download
FD_RAW_0003	auto_discovered	auto_discovered	auto_discovered	aws_3kricegenome_reduced.txt	data/raw/listings/aws_3kricegenome_reduced.txt	unknown	unknown	fast_download_selected_data.sh --execute	downloaded	2011	e6cf545244633c01b33e7f7af8d688ab8f3431aaac9a9c46c4ff2ea481eb5b1f		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	to_be_confirmed	fast_download; source_id requires later curation
FD_RAW_0004	auto_discovered	auto_discovered	auto_discovered	aws_3kricegenome_reduced_recursive.txt	data/raw/listings/aws_3kricegenome_reduced_recursive.txt	unknown	unknown	fast_download_selected_data.sh --execute	downloaded	2299	65de7ce37aafa35b02482835d0b549eefa0e28473b03a1b653152b89cc0695a0		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	to_be_confirmed	fast_download; source_id requires later curation
FD_RAW_0005	auto_discovered	auto_discovered	auto_discovered	aws_3kricegenome_root.txt	data/raw/listings/aws_3kricegenome_root.txt	unknown	unknown	fast_download_selected_data.sh --execute	downloaded	1801	44d1a05e31fb7c737647ce6ebea7a65b9f494b1b27b64f57908b7bb3a8957c36		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	to_be_confirmed	fast_download; source_id requires later curation
FD_RAW_0006	auto_discovered	auto_discovered	auto_discovered	aws_3kricegenome_snpseek_dl.txt	data/raw/listings/aws_3kricegenome_snpseek_dl.txt	unknown	unknown	fast_download_selected_data.sh --execute	downloaded	987	a9279f06b3e2d92a11d0971d82f0330f9c7c8f273e7a2368aaf62cb17b12edca		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	to_be_confirmed	fast_download; source_id requires later curation
FD_RAW_0007	auto_discovered	auto_discovered	auto_discovered	aws_3kricegenome_snpseek_dl_core.txt	data/raw/listings/aws_3kricegenome_snpseek_dl_core.txt	unknown	unknown	fast_download_selected_data.sh --execute	downloaded	1490	9a1ad3ea4131c849ade1c8d43b29ea7723d066190007794fb6dedb895e1eb8d1		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	to_be_confirmed	fast_download; source_id requires later curation
FD_RAW_0008	auto_discovered	auto_discovered	auto_discovered	aws_3kricegenome_snpseek_dl_phenotype.txt	data/raw/listings/aws_3kricegenome_snpseek_dl_phenotype.txt	unknown	unknown	fast_download_selected_data.sh --execute	downloaded	139	491c95a883f3f6186fd5e8c351ab7dc9fad7e1f5a7518ca0d9689978ef42437b		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	to_be_confirmed	fast_download; source_id requires later curation
FD_RAW_0009	auto_discovered	auto_discovered	auto_discovered	aws_3kricegenome_snpseek_dl_recursive.txt	data/raw/listings/aws_3kricegenome_snpseek_dl_recursive.txt	unknown	unknown	fast_download_selected_data.sh --execute	downloaded	10536	e5e4bdf25fc90a4a4fc91abc135908a3e7eb1bec6e2f5710d10c79b65f660b12		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	to_be_confirmed	fast_download; source_id requires later curation
FD_RAW_0010	auto_discovered	auto_discovered	auto_discovered	aws_3kricegenome_vcf.txt	data/raw/listings/aws_3kricegenome_vcf.txt	unknown	unknown	fast_download_selected_data.sh --execute	downloaded	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		2026-05-15T17:54:27.460217+00:00	to_be_confirmed	to_be_confirmed	fast_download; source_id requires later curation
