split_block_id	block_type	chrom	block_start	block_end	block_length	member_unit_ids	n_units	traits	genes	evidence_sources	decoy_pair_ids	block_rule	leakage_risk_level	notes	split_version
BLK_ACC_ACC_0353	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0353	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0395	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0395	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0456	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0456	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0559	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0559	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0560	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0560	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0561	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0561	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0562	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0562	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0563	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0563	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0564	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0564	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0565	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0565	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0566	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0566	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0567	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0567	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0568	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0568	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0569	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0569	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0570	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0570	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0571	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0571	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0572	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0572	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0573	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0573	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0574	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0574	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0575	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0575	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0576	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0576	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0577	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0577	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0578	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0578	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0579	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0579	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0580	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0580	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
BLK_ACC_ACC_0581	accession_block	NA	NA	NA	NA	SU_ACC_ACC_0581	1	NA	NA	NA	NA	one accession per accession split block	medium	block is used to keep nearby evidence and matched decoys together when applicable	frozen_split_v055_chr1_snp_prototype_v1
