evaluator_decoy_id	evaluator_object_id	object_id	decoy_pair_id	decoy_object_id	trait_id	object_type	assigned_split	decoy_assignment_status	match_rank	match_score	matching_level	relaxation_level	matched_fields	unavailable_fields	notes	scaffold_version
EDEC_000000001	EOBJ_00000001	OBJ_GENE_00000002	DP_000000001	GENE_BG_Os01g0102000	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	1	0.913893	L2_relaxed_position_density	L2_relaxed_position_density	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000002	EOBJ_00000001	OBJ_GENE_00000002	DP_000000002	GENE_BG_Os01g0101700	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	2	0.858432	L2_relaxed_position_density	L2_relaxed_position_density	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000003	EOBJ_00000001	OBJ_GENE_00000002	DP_000000003	GENE_BG_LOC_Os01g01110	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	3	0.856532	L2_relaxed_position_density	L2_relaxed_position_density	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000004	EOBJ_00000001	OBJ_GENE_00000002	DP_000000004	GENE_BG_Os01g0102400	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	4	0.856143	L2_relaxed_position_density	L2_relaxed_position_density	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000005	EOBJ_00000001	OBJ_GENE_00000002	DP_000000005	GENE_BG_rps11	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	5	0.813352	L2_relaxed_position_density	L2_relaxed_position_density	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000006	EOBJ_00000002	OBJ_GENE_00000016	DP_000000006	GENE_BG_Os01g0106900	data_lt_2007__spkf	gene	dev	follows_evidence_split	1	0.812753	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000007	EOBJ_00000002	OBJ_GENE_00000016	DP_000000007	GENE_BG_Os01g0106800	data_lt_2007__spkf	gene	dev	follows_evidence_split	2	0.800675	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000008	EOBJ_00000002	OBJ_GENE_00000016	DP_000000008	GENE_BG_Os01g0107000	data_lt_2007__spkf	gene	dev	follows_evidence_split	3	0.798368	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000009	EOBJ_00000002	OBJ_GENE_00000016	DP_000000009	GENE_BG_Os01g0105800	data_lt_2007__spkf	gene	dev	follows_evidence_split	4	0.795566	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000010	EOBJ_00000002	OBJ_GENE_00000016	DP_000000010	GENE_BG_Os01g0105700	data_lt_2007__spkf	gene	dev	follows_evidence_split	5	0.794952	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000011	EOBJ_00000003	OBJ_GENE_00000033	DP_000000011	GENE_BG_Os01g0118300	data_lt_2007__lsen	gene	dev	follows_evidence_split	1	0.813629	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000012	EOBJ_00000003	OBJ_GENE_00000033	DP_000000012	GENE_BG_Os01g0115900	data_lt_2007__lsen	gene	dev	follows_evidence_split	2	0.79143	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000013	EOBJ_00000003	OBJ_GENE_00000033	DP_000000013	GENE_BG_Os01g0115800	data_lt_2007__lsen	gene	dev	follows_evidence_split	3	0.790954	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000014	EOBJ_00000003	OBJ_GENE_00000033	DP_000000014	GENE_BG_Os01g0116800	data_lt_2007__lsen	gene	dev	follows_evidence_split	4	0.775046	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000015	EOBJ_00000003	OBJ_GENE_00000033	DP_000000015	GENE_BG_Os01g0116900	data_lt_2007__lsen	gene	dev	follows_evidence_split	5	0.774232	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000016	EOBJ_00000004	OBJ_GENE_00000037	DP_000000016	GENE_BG_Os01g0124200	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	1	0.838884	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000017	EOBJ_00000004	OBJ_GENE_00000037	DP_000000017	GENE_BG_Os01g0125800	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	2	0.827878	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000018	EOBJ_00000004	OBJ_GENE_00000037	DP_000000018	GENE_BG_Os01g0127000	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	3	0.814675	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000019	EOBJ_00000004	OBJ_GENE_00000037	DP_000000019	GENE_BG_Os01g0127200	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	4	0.813348	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000020	EOBJ_00000004	OBJ_GENE_00000037	DP_000000020	GENE_BG_Os01g0127500	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	5	0.811175	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000021	EOBJ_00000005	OBJ_GENE_00000048	DP_000000021	GENE_BG_Os01g0127200	data_lt_2007__spkf	gene	dev	follows_evidence_split	1	0.892265	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000022	EOBJ_00000005	OBJ_GENE_00000048	DP_000000022	GENE_BG_Os01g0127000	data_lt_2007__spkf	gene	dev	follows_evidence_split	2	0.890744	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000023	EOBJ_00000005	OBJ_GENE_00000048	DP_000000023	GENE_BG_Os01g0128000	data_lt_2007__spkf	gene	dev	follows_evidence_split	3	0.887654	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000024	EOBJ_00000005	OBJ_GENE_00000048	DP_000000024	GENE_BG_Os01g0128300	data_lt_2007__spkf	gene	dev	follows_evidence_split	4	0.883151	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000025	EOBJ_00000005	OBJ_GENE_00000048	DP_000000025	GENE_BG_Os01g0124200	data_lt_2007__spkf	gene	dev	follows_evidence_split	5	0.864743	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000026	EOBJ_00000006	OBJ_GENE_00000051	DP_000000026	GENE_BG_Os01g0128300	data_lt_2007__spkf	gene	dev	follows_evidence_split	1	0.906498	L2_relaxed_position_density	L2_relaxed_position_density	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000027	EOBJ_00000006	OBJ_GENE_00000051	DP_000000027	GENE_BG_Os01g0128000	data_lt_2007__spkf	gene	dev	follows_evidence_split	2	0.901697	L2_relaxed_position_density	L2_relaxed_position_density	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000028	EOBJ_00000006	OBJ_GENE_00000051	DP_000000028	GENE_BG_Os01g0127500	data_lt_2007__spkf	gene	dev	follows_evidence_split	3	0.894687	L2_relaxed_position_density	L2_relaxed_position_density	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000029	EOBJ_00000006	OBJ_GENE_00000051	DP_000000029	GENE_BG_Os01g0127200	data_lt_2007__spkf	gene	dev	follows_evidence_split	4	0.892471	L2_relaxed_position_density	L2_relaxed_position_density	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000030	EOBJ_00000006	OBJ_GENE_00000051	DP_000000030	GENE_BG_Os01g0127000	data_lt_2007__spkf	gene	dev	follows_evidence_split	5	0.890857	L2_relaxed_position_density	L2_relaxed_position_density	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000031	EOBJ_00000007	OBJ_GENE_00000052	DP_000000031	GENE_BG_Os01g0133400	data_lt_2007__spkf	gene	dev	follows_evidence_split	1	0.980566	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000032	EOBJ_00000007	OBJ_GENE_00000052	DP_000000032	GENE_BG_Os01g0132000	data_lt_2007__spkf	gene	dev	follows_evidence_split	2	0.952229	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
