object_id	object_type	trait_id	trait_name	evidence_id	evidence_source	evidence_source_type	evidence_level	support_level	allowed_usage	chrom	start	end	object_length	gene_id	gene_symbol	variant_id	window_id	source_database	source_record_id	mapping_status	coordinate_confidence	exact_frozen_trait_mapping	manual_review_required	in_main_evaluation_candidate_pool	exclusion_reason	notes	pipeline_version
OBJ_GENE_00000001	gene	NA	TO:0000074 - blast disease;TO:0000401 - plant growth hormone sensitivity	KGE_00000001	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	35623	41136	5514	Os01g0100900	SPL1, OsSPL1, OsSPL	NA	NA	RAP-DB_curated_genes	Os01g0100900	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000002	gene	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	KGE_00000002	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	72823	77699	4877	Os01g0101600	SCR106, RRM1-1, OsSCR106, OsRRM1-1	NA	NA	RAP-DB_curated_genes	Os01g0101600	mapped_high_confidence	high	true	false	true	NA	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000003	gene	NA	TO:0000303 - cold tolerance;TO:0000276 - drought tolerance	KGE_00000003	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	89763	91521	1759	Os01g0102000	NPC5, OsNPC6, NPC6, OsNPC5	NA	NA	RAP-DB_curated_genes	Os01g0102000	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000004	gene	NA	TO:0000494 - pigment content;TO:0002715 - chloroplast development trait	KGE_00000004	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	134300	135439	1140	Os01g0102300	TLP27, OsTLP27	NA	NA	RAP-DB_curated_genes	Os01g0102300	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000005	gene	NA	unspecified_trait	KGE_00000005	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	139826	141555	1730	Os01g0102400	HAP5H, OsNF-YC9, NF-YC9, OsHAP5H, NFYC9	NA	NA	RAP-DB_curated_genes	Os01g0102400	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000006	gene	NA	TO:0000074 - blast disease;TO:0000276 - drought tolerance;TO:0006001 - salt tolerance	KGE_00000006	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	151409	156449	5041	Os01g0102800	CSB, OsCHR704, CHR704, OsCBS	NA	NA	RAP-DB_curated_genes	Os01g0102800	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000007	gene	NA	TO:0000075 - light sensitivity	KGE_00000007	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	169390	170316	927	Os01g0102900	LIR1, Lir1, OsLIR1, Os-LIR1	NA	NA	RAP-DB_curated_genes	Os01g0102900	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000008	gene	NA	TO:0006001 - salt tolerance;TO:0000011 - nitrogen sensitivity;TO:0000371 - yield trait;TO:0001032 - relative panicle number	KGE_00000008	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	178607	180548	1942	Os01g0103100	NPF6.1, OsNPF6.1	NA	NA	RAP-DB_curated_genes	Os01g0103100	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000009	gene	NA	TO:0000615 - abscisic acid sensitivity;TO:0000276 - drought tolerance;TO:0006001 - salt tolerance;TO:0000303 - cold tolerance;TO:0000148 - viral disease resistance;TO:0000326 - leaf color;TO:0000605 - hydrogen peroxide content;TO:0000261 - insect damage resistance;TO:0006002 - proline content	KGE_00000009	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	209771	214173	4403	Os01g0104100	NCA1A, OsNCA1a, NCA1a, OsCOIN, COIN, OsRING1, RING1	NA	NA	RAP-DB_curated_genes	Os01g0104100	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000010	gene	NA	TO:0000516 - relative root length;TO:0000354 - aluminum sensitivity;TO:0000205 - white-backed planthopper resistance	KGE_00000010	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	216126	217664	1539	Os01g0104200	NAC16, OsNAC016, ONAC016, ONAC16, OsNAC16	NA	NA	RAP-DB_curated_genes	Os01g0104200	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
