rank_record_id	object_id	trait_id	object_type	assigned_split	prototype_locked_not_final	score_source	score_version	score_level_used	adapter_id	n_decoys_expected	n_decoys_with_score	n_decoys_rankable	evidence_score	dry_run_rank	dry_run_rank_percentile	dry_run_top1_indicator	dry_run_top5_indicator	evidence_vs_decoy_mean_delta	evidence_vs_decoy_median_delta	can_rank	rank_failure_reason	dry_run_only	notes
DRRANK_000000001	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	dev	true	baseline:genomic_position	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	5	5	5	0.0005777783	2	0.8333333333	false	true	-0.00023110207	0	true	NA	true	rank position is dry-run diagnostic only; not a formal top-k or benchmark metric
DRRANK_000000002	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	dev	true	baseline:random_uniform	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	5	5	5	0.5340433926	1	1	true	true	0.02841340932	0	true	NA	true	rank position is dry-run diagnostic only; not a formal top-k or benchmark metric
DRRANK_000000003	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	dev	true	baseline:shuffled_trait	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	5	5	5	0	1	1	true	true	0	0	true	NA	true	rank position is dry-run diagnostic only; not a formal top-k or benchmark metric
DRRANK_000000004	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	dev	true	baseline:window_snp_density	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	5	5	5	68.5	2	0.8333333333	false	true	-1.3	0	true	NA	true	rank position is dry-run diagnostic only; not a formal top-k or benchmark metric
DRRANK_000000005	OBJ_GENE_00000016	data_lt_2007__spkf	gene	dev	true	baseline:genomic_position	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	5	5	5	0.0069330853	4	0.5	false	true	-0.00011555104	-0.0005777552	true	NA	true	rank position is dry-run diagnostic only; not a formal top-k or benchmark metric
DRRANK_000000006	OBJ_GENE_00000016	data_lt_2007__spkf	gene	dev	true	baseline:random_uniform	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	5	5	5	0.5014346672	4	0.5	false	true	-0.1189851816	-0.1983995362	true	NA	true	rank position is dry-run diagnostic only; not a formal top-k or benchmark metric
DRRANK_000000007	OBJ_GENE_00000016	data_lt_2007__spkf	gene	dev	true	baseline:shuffled_trait	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	5	5	5	0	1	1	true	true	0	0	true	NA	true	rank position is dry-run diagnostic only; not a formal top-k or benchmark metric
DRRANK_000000008	OBJ_GENE_00000016	data_lt_2007__spkf	gene	dev	true	baseline:window_snp_density	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	5	5	5	77.66666667	4	0.5	false	true	0.86666667	-0.33333333	true	NA	true	rank position is dry-run diagnostic only; not a formal top-k or benchmark metric
DRRANK_000000009	OBJ_GENE_00000033	data_lt_2007__lsen	gene	dev	true	baseline:genomic_position	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	5	5	5	0.0202214545	3	0.6666666667	false	true	-0.000231102054	0	true	NA	true	rank position is dry-run diagnostic only; not a formal top-k or benchmark metric
DRRANK_000000010	OBJ_GENE_00000033	data_lt_2007__lsen	gene	dev	true	baseline:random_uniform	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	5	5	5	0.5654438984	4	0.5	false	true	-0.05453698976	-0.0521146148	true	NA	true	rank position is dry-run diagnostic only; not a formal top-k or benchmark metric
DRRANK_000000011	OBJ_GENE_00000033	data_lt_2007__lsen	gene	dev	true	baseline:shuffled_trait	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	5	5	5	0	1	1	true	true	0	0	true	NA	true	rank position is dry-run diagnostic only; not a formal top-k or benchmark metric
DRRANK_000000012	OBJ_GENE_00000033	data_lt_2007__lsen	gene	dev	true	baseline:window_snp_density	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	5	5	5	106.5	3	0.6666666667	false	true	-8.4	0	true	NA	true	rank position is dry-run diagnostic only; not a formal top-k or benchmark metric
