file_path	file_name	in_download_manifest	in_checksum_table	download_id	source_id	download_status	file_size_bytes	manifest_file_size_bytes	checksum_sha256	checksum_value	status	notes
data/raw/accessions/RICE_RP.tar.gz	RICE_RP.tar.gz	yes	yes	FD_CAND_AUTO_0032	SRC_3K_ACCESSION_METADATA_001	downloaded	986533366	986533366	c49c7490d44454b247c712a607e0a4d9ee8d3240ebf1c48dae19ea981aacb6c3	c49c7490d44454b247c712a607e0a4d9ee8d3240ebf1c48dae19ea981aacb6c3	registered	current audit only; does not mutate manifest/checksum table
data/raw/accessions/genesys/genesys_3k_mcpd_passport.xlsx	genesys_3k_mcpd_passport.xlsx	no	no				485871				missing_checksum	current audit only; does not mutate manifest/checksum table
data/raw/accessions/ncbi_prjeb6180/PRJEB6180_runinfo.csv	PRJEB6180_runinfo.csv	no	no				13077309				missing_checksum	current audit only; does not mutate manifest/checksum table
data/raw/accessions/snpseek/3K_list_sra_ids.txt	3K_list_sra_ids.txt	no	no				166286				missing_checksum	current audit only; does not mutate manifest/checksum table
data/raw/checksums/GCF_001433935.1_IRGSP-1.0_md5checksums.txt	GCF_001433935.1_IRGSP-1.0_md5checksums.txt	yes	yes	FD_CAND_REF_MD5_GCF001433935	SRC_REF_IRGSP_FASTA_003	downloaded	12720	12720	8e801be0463e0b07eace8d6947e58199d59c4b850e12f4c56ba35cf0af54af9d	8e801be0463e0b07eace8d6947e58199d59c4b850e12f4c56ba35cf0af54af9d	registered	current audit only; does not mutate manifest/checksum table
data/raw/evidence/known_genes/oryzabase/OryzabaseGeneListEn.tsv	OryzabaseGeneListEn.tsv	yes	yes	DL_WEAK_ORYZABASE_GENE_001	SRC_WEAK_ORYZABASE_GENE_001	downloaded	11281159	11281159	0533c6da55b7c50377ec753308fb9ac3b69080588628d75cbafb3e742df2301f	0533c6da55b7c50377ec753308fb9ac3b69080588628d75cbafb3e742df2301f	registered	current audit only; does not mutate manifest/checksum table
data/raw/evidence/qtl/qtaro/qtaro_sjis.zip	qtaro_sjis.zip	yes	yes	DL_WEAK_QTARO_QTL_001	SRC_WEAK_QTARO_QTL_001	downloaded	90649	90649	8ddf03e52f690c37b6ecc5afdc4299a148c3082449073ceeacac08ec657e88e8	8ddf03e52f690c37b6ecc5afdc4299a148c3082449073ceeacac08ec657e88e8	registered	current audit only; does not mutate manifest/checksum table
data/raw/listings/aws_3kricegenome_reduced.txt	aws_3kricegenome_reduced.txt	yes	yes	FD_RAW_0003	auto_discovered	downloaded	2011	2011	e6cf545244633c01b33e7f7af8d688ab8f3431aaac9a9c46c4ff2ea481eb5b1f	e6cf545244633c01b33e7f7af8d688ab8f3431aaac9a9c46c4ff2ea481eb5b1f	registered	current audit only; does not mutate manifest/checksum table
data/raw/listings/aws_3kricegenome_reduced_recursive.txt	aws_3kricegenome_reduced_recursive.txt	yes	yes	FD_RAW_0004	auto_discovered	downloaded	2299	2299	65de7ce37aafa35b02482835d0b549eefa0e28473b03a1b653152b89cc0695a0	65de7ce37aafa35b02482835d0b549eefa0e28473b03a1b653152b89cc0695a0	registered	current audit only; does not mutate manifest/checksum table
data/raw/listings/aws_3kricegenome_root.txt	aws_3kricegenome_root.txt	yes	yes	FD_RAW_0005	auto_discovered	downloaded	1801	1801	44d1a05e31fb7c737647ce6ebea7a65b9f494b1b27b64f57908b7bb3a8957c36	44d1a05e31fb7c737647ce6ebea7a65b9f494b1b27b64f57908b7bb3a8957c36	registered	current audit only; does not mutate manifest/checksum table
