evaluator_object_id	object_id	trait_id	object_type	evidence_id	evidence_source	evidence_level	chrom	start	end	gene_id	gene_symbol	variant_id	window_id	assigned_split	assigned_role	prototype_locked_not_final	in_main_evaluation_candidate_pool	manual_review_required	broader_evidence	has_matched_decoy	n_matched_decoys	notes	scaffold_version
EOBJ_00000001	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	KGE_00000002	RAP-DB JSON	gene_level	1	72823	77699	Os01g0101600	SCR106, RRM1-1, OsSCR106, OsRRM1-1	NA	NA	dev	development_evaluation	true	true	false	false	true	5	evaluator scaffold input only; evidence is not a training label and the prototype split is non-final	evaluator_scaffold_v055_chr1_snp_prototype_v1
EOBJ_00000002	OBJ_GENE_00000016	data_lt_2007__spkf	gene	KGE_00000016	RAP-DB JSON	gene_level	1	335708	371194	Os01g0106700	ATM, OsATM	NA	NA	dev	development_evaluation	true	true	false	false	true	5	evaluator scaffold input only; evidence is not a training label and the prototype split is non-final	evaluator_scaffold_v055_chr1_snp_prototype_v1
EOBJ_00000003	OBJ_GENE_00000033	data_lt_2007__lsen	gene	KGE_00000033	RAP-DB JSON	gene_level	1	929884	934458	Os01g0116600	SPL33, LMM5.1, SPL33/LMM5.1, OsSPL33, OsLMM5.1, OsHBS1, HBS1	NA	NA	dev	development_evaluation	true	true	false	false	true	5	evaluator scaffold input only; evidence is not a training label and the prototype split is non-final	evaluator_scaffold_v055_chr1_snp_prototype_v1
EOBJ_00000004	OBJ_GENE_00000037	data_lt_2007__cult_code_repro	gene	KGE_00000037	RAP-DB JSON	gene_level	1	1353705	1354767	Os01g0124401	RBBI3-3, OsBBPI, BBPI, OsBBTI5, BBTI5, IBP1.2, OsIBP1.2	NA	NA	dev	development_evaluation	true	true	false	false	true	5	evaluator scaffold input only; evidence is not a training label and the prototype split is non-final	evaluator_scaffold_v055_chr1_snp_prototype_v1
EOBJ_00000005	OBJ_GENE_00000048	data_lt_2007__spkf	gene	KGE_00000048	RAP-DB JSON	gene_level	1	1513138	1514432	Os01g0127500	TKPR2, OsTKPR2	NA	NA	dev	development_evaluation	true	true	false	false	true	5	evaluator scaffold input only; evidence is not a training label and the prototype split is non-final	evaluator_scaffold_v055_chr1_snp_prototype_v1
EOBJ_00000006	OBJ_GENE_00000051	data_lt_2007__spkf	gene	KGE_00000051	RAP-DB JSON	gene_level	1	1625159	1626574	Os01g0129200	SL1, sl1, sl1(t), stl1, opb, OPB, OPB1, ps, PS, DLN2, OsDLN2, OsJAG, JAG, OsJAG.1, OsJAG.2, ZOS1-02, OsZOS1-02	NA	NA	dev	development_evaluation	true	true	false	false	true	5	evaluator scaffold input only; evidence is not a training label and the prototype split is non-final	evaluator_scaffold_v055_chr1_snp_prototype_v1
EOBJ_00000007	OBJ_GENE_00000052	data_lt_2007__spkf	gene	KGE_00000052	RAP-DB JSON	gene_level	1	1746418	1748443	Os01g0131600	ERF108, RD2, OsERF#108, OsAP2, OsERF108, AP2/EREBP#001, AP2/EREBP1, OsCRF1, CRF1, ESR1, OsESR1	NA	NA	dev	development_evaluation	true	true	false	false	true	5	evaluator scaffold input only; evidence is not a training label and the prototype split is non-final	evaluator_scaffold_v055_chr1_snp_prototype_v1
EOBJ_00000008	OBJ_GENE_00000062	data_lt_2007__cult_code_repro	gene	KGE_00000062	RAP-DB JSON	gene_level	1	2120489	2122320	Os01g0140100	AP4, OsAP4	NA	NA	dev	development_evaluation	true	true	false	false	true	5	evaluator scaffold input only; evidence is not a training label and the prototype split is non-final	evaluator_scaffold_v055_chr1_snp_prototype_v1
EOBJ_00000009	OBJ_GENE_00000067	data_lt_2007__spkf	gene	KGE_00000067	RAP-DB JSON	gene_level	1	2275067	2278872	Os01g0142300	SQD2.2, SQD2, OsSQD2.2, OsSQD2	NA	NA	dev	development_evaluation	true	true	false	false	true	5	evaluator scaffold input only; evidence is not a training label and the prototype split is non-final	evaluator_scaffold_v055_chr1_snp_prototype_v1
EOBJ_00000010	OBJ_GENE_00000070	data_lt_2007__cult_code_repro	gene	KGE_00000070	RAP-DB JSON	gene_level	1	2560897	2565321	Os01g0147200	ASD1, IWS1, OsIWS1	NA	NA	dev	development_evaluation	true	true	false	false	true	5	evaluator scaffold input only; evidence is not a training label and the prototype split is non-final	evaluator_scaffold_v055_chr1_snp_prototype_v1
