evidence_id	original_source	original_reference_build	original_chrom	original_start	original_end	mapped_reference_build	mapped_chrom	mapped_start	mapped_end	mapping_method	mapping_confidence	mapping_status	failure_reason	notes
KGE_00000001	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	35623	41136	IRGSP-1.0 / GCF_001433935.1	1	35623	41136	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000002	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	72823	77699	IRGSP-1.0 / GCF_001433935.1	1	72823	77699	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000003	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	89763	91521	IRGSP-1.0 / GCF_001433935.1	1	89763	91521	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000004	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	134300	135439	IRGSP-1.0 / GCF_001433935.1	1	134300	135439	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000005	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	139826	141555	IRGSP-1.0 / GCF_001433935.1	1	139826	141555	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000006	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	151409	156449	IRGSP-1.0 / GCF_001433935.1	1	151409	156449	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000007	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	169390	170316	IRGSP-1.0 / GCF_001433935.1	1	169390	170316	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000008	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	178607	180548	IRGSP-1.0 / GCF_001433935.1	1	178607	180548	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000009	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	209771	214173	IRGSP-1.0 / GCF_001433935.1	1	209771	214173	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000010	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	216126	217664	IRGSP-1.0 / GCF_001433935.1	1	216126	217664	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000011	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	226897	229229	IRGSP-1.0 / GCF_001433935.1	1	226897	229229	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000012	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	241680	243440	IRGSP-1.0 / GCF_001433935.1	1	241680	243440	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000013	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	248828	256872	IRGSP-1.0 / GCF_001433935.1	1	248828	256872	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000014	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	309520	313170	IRGSP-1.0 / GCF_001433935.1	1	309520	313170	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000015	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	327128	328450	IRGSP-1.0 / GCF_001433935.1	1	327128	328450	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000016	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	335708	371194	IRGSP-1.0 / GCF_001433935.1	1	335708	371194	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000017	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	374728	380713	IRGSP-1.0 / GCF_001433935.1	1	374728	380713	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000018	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	478488	481165	IRGSP-1.0 / GCF_001433935.1	1	478488	481165	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000019	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	498454	506264	IRGSP-1.0 / GCF_001433935.1	1	498454	506264	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000020	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	536973	538644	IRGSP-1.0 / GCF_001433935.1	1	536973	538644	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000021	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	537710	543354	IRGSP-1.0 / GCF_001433935.1	1	537710	543354	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000022	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	562088	572092	IRGSP-1.0 / GCF_001433935.1	1	562088	572092	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000023	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	585963	586445	IRGSP-1.0 / GCF_001433935.1	1	585963	586445	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000024	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	588917	593714	IRGSP-1.0 / GCF_001433935.1	1	588917	593714	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000025	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	603643	605643	IRGSP-1.0 / GCF_001433935.1	1	603643	605643	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000026	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	612564	615631	IRGSP-1.0 / GCF_001433935.1	1	612564	615631	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000027	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	728968	731172	IRGSP-1.0 / GCF_001433935.1	1	728968	731172	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000028	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	728926	731089	IRGSP-1.0 / GCF_001433935.1	1	728926	731089	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000029	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	851835	854599	IRGSP-1.0 / GCF_001433935.1	1	851835	854599	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000030	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	857790	860739	IRGSP-1.0 / GCF_001433935.1	1	857790	860739	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000031	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	862579	865249	IRGSP-1.0 / GCF_001433935.1	1	862579	865249	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000032	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	865792	869367	IRGSP-1.0 / GCF_001433935.1	1	865792	869367	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000033	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	929884	934458	IRGSP-1.0 / GCF_001433935.1	1	929884	934458	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000034	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1047901	1053166	IRGSP-1.0 / GCF_001433935.1	1	1047901	1053166	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
