matched_set_id	object_id	decoy_object_id	trait_id	object_type	assigned_split	prototype_locked_not_final	score_source	score_version	score_level_used	adapter_id	evidence_score	decoy_score	score_available_evidence	score_available_decoy	n_decoys_expected	n_decoys_with_score	decoy_semantics	uses_true_negative	uses_unknown_as_negative	dry_run_only	notes
MSET_OBJ_GENE_00000002_baseline_genomic_position_v0_1_chr1_snp_20260516	OBJ_GENE_00000002	GENE_BG_Os01g0102000	data_lt_2007__cult_code_repro	gene	dev	true	baseline:genomic_position	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	0.0005777783	0.0005777783	true	true	5	5	matched_background	false	false	true	dry-run adapter aggregation diagnostic only; not a formal metric
MSET_OBJ_GENE_00000002_baseline_genomic_position_v0_1_chr1_snp_20260516	OBJ_GENE_00000002	GENE_BG_Os01g0101700	data_lt_2007__cult_code_repro	gene	dev	true	baseline:genomic_position	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	0.0005777783	0.0005777783	true	true	5	5	matched_background	false	false	true	dry-run adapter aggregation diagnostic only; not a formal metric
MSET_OBJ_GENE_00000002_baseline_genomic_position_v0_1_chr1_snp_20260516	OBJ_GENE_00000002	GENE_BG_LOC_Os01g01110	data_lt_2007__cult_code_repro	gene	dev	true	baseline:genomic_position	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	0.0005777783	0.0005777783	true	true	5	5	matched_background	false	false	true	dry-run adapter aggregation diagnostic only; not a formal metric
MSET_OBJ_GENE_00000002_baseline_genomic_position_v0_1_chr1_snp_20260516	OBJ_GENE_00000002	GENE_BG_Os01g0102400	data_lt_2007__cult_code_repro	gene	dev	true	baseline:genomic_position	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	0.0005777783	0.00173328865	true	true	5	5	matched_background	false	false	true	dry-run adapter aggregation diagnostic only; not a formal metric
MSET_OBJ_GENE_00000002_baseline_genomic_position_v0_1_chr1_snp_20260516	OBJ_GENE_00000002	GENE_BG_rps11	data_lt_2007__cult_code_repro	gene	dev	true	baseline:genomic_position	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	0.0005777783	0.0005777783	true	true	5	5	matched_background	false	false	true	dry-run adapter aggregation diagnostic only; not a formal metric
MSET_OBJ_GENE_00000002_baseline_random_uniform_v0_1_chr1_snp_20260516	OBJ_GENE_00000002	GENE_BG_Os01g0102000	data_lt_2007__cult_code_repro	gene	dev	true	baseline:random_uniform	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	0.5340433926	0.5340433926	true	true	5	5	matched_background	false	false	true	dry-run adapter aggregation diagnostic only; not a formal metric
MSET_OBJ_GENE_00000002_baseline_random_uniform_v0_1_chr1_snp_20260516	OBJ_GENE_00000002	GENE_BG_Os01g0101700	data_lt_2007__cult_code_repro	gene	dev	true	baseline:random_uniform	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	0.5340433926	0.5340433926	true	true	5	5	matched_background	false	false	true	dry-run adapter aggregation diagnostic only; not a formal metric
MSET_OBJ_GENE_00000002_baseline_random_uniform_v0_1_chr1_snp_20260516	OBJ_GENE_00000002	GENE_BG_LOC_Os01g01110	data_lt_2007__cult_code_repro	gene	dev	true	baseline:random_uniform	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	0.5340433926	0.5340433926	true	true	5	5	matched_background	false	false	true	dry-run adapter aggregation diagnostic only; not a formal metric
MSET_OBJ_GENE_00000002_baseline_random_uniform_v0_1_chr1_snp_20260516	OBJ_GENE_00000002	GENE_BG_Os01g0102400	data_lt_2007__cult_code_repro	gene	dev	true	baseline:random_uniform	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	0.5340433926	0.391976346	true	true	5	5	matched_background	false	false	true	dry-run adapter aggregation diagnostic only; not a formal metric
MSET_OBJ_GENE_00000002_baseline_random_uniform_v0_1_chr1_snp_20260516	OBJ_GENE_00000002	GENE_BG_rps11	data_lt_2007__cult_code_repro	gene	dev	true	baseline:random_uniform	v0_1_chr1_snp_20260516	window	ADAPT_GENE_WINDOW_MEAN_V1	0.5340433926	0.5340433926	true	true	5	5	matched_background	false	false	true	dry-run adapter aggregation diagnostic only; not a formal metric
