candidate_pool_id	object_id	trait_id	object_type	candidate_object_id	candidate_object_type	candidate_chrom	candidate_start	candidate_end	candidate_length	same_chrom	position_bin	position_distance	gene_density_object	gene_density_candidate	variant_density_object	variant_density_candidate	annotation_richness_object	annotation_richness_candidate	evidence_source_coverage_object	evidence_source_coverage_candidate	database_detectability_object	database_detectability_candidate	interval_length_object	interval_length_candidate	chr1_snp_window_coverage_object	chr1_snp_window_coverage_candidate	chr1_snp_variant_coverage_object	chr1_snp_variant_coverage_candidate	candidate_pool_status	candidate_exclusion_reason	notes	pipeline_version
CP_000000001	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0102000	gene	1	89763	91521	1759	true	chr1:0Mb->chr1:0Mb	15381	512	521	1	0	1.5	1.5	2	2	0.219722	0.219722	4877	1759	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000002	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0101700	gene	1	82426	84095	1670	true	chr1:0Mb->chr1:0Mb	7999	512	515	1	0	1.5	1.5	2	1	0.219722	0.219722	4877	1670	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000003	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_LOC_Os01g01110	gene	1	57082	57972	891	true	chr1:0Mb->chr1:0Mb	17734	512	509	1	0	1.5	1.5	2	1	0.219722	0.219722	4877	891	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000004	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_rps11	gene	1	75407	75838	432	true	chr1:0Mb->chr1:0Mb	361	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	432	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000005	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_rpoA	gene	1	74330	75343	1014	true	chr1:0Mb->chr1:0Mb	425	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	1014	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000006	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_LOC_Os01g01150	gene	1	72775	78702	5928	true	chr1:0Mb->chr1:0Mb	477	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	5928	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000007	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_rpl36	gene	1	76013	76126	114	true	chr1:0Mb->chr1:0Mb	808	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	114	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000008	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_LOC4326462	gene	1	72780	79768	6989	true	chr1:0Mb->chr1:0Mb	1013	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	6989	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000009	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_infA	gene	1	76238	76561	324	true	chr1:0Mb->chr1:0Mb	1138	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	324	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000010	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_rps8	gene	1	76698	77108	411	true	chr1:0Mb->chr1:0Mb	1642	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	411	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
