decoy_pair_id	object_id	trait_id	object_type	decoy_object_id	decoy_object_type	match_rank	match_score	matching_level	matching_status	relaxation_level	relaxation_reason	n_candidates_before_filter	n_candidates_after_filter	matched_fields	unavailable_fields	field_balance_score	position_balance_score	density_balance_score	annotation_balance_score	detectability_balance_score	research_bias_balance_score	notes	pipeline_version
DP_000000001	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0102000	gene	1	0.913893	L2_relaxed_position_density	matched_background_candidate	L2_relaxed_position_density	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.913893	0.984852	0.584611	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000002	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0101700	gene	2	0.858432	L2_relaxed_position_density	matched_background_candidate	L2_relaxed_position_density	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.858432	0.992064	0.588589	1	1	0.711508	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000003	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_LOC_Os01g01110	gene	3	0.856532	L2_relaxed_position_density	matched_background_candidate	L2_relaxed_position_density	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.856532	0.982575	0.588577	1	1	0.711508	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000004	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0102400	gene	4	0.856143	L2_relaxed_position_density	matched_background_candidate	L2_relaxed_position_density	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.856143	0.938589	0.565538	1	1	0.776589	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000005	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_rps11	gene	5	0.813352	L2_relaxed_position_density	matched_background_candidate	L2_relaxed_position_density	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.813352	0.999639	0.590616	1	1	0.476505	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000006	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_Os01g0106900	gene	1	0.812753	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.812753	0.976306	0.310869	1	1	0.776589	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000007	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_Os01g0106800	gene	2	0.800675	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.800675	0.980709	0.311158	1	1	0.711508	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000008	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_Os01g0107000	gene	3	0.798368	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.798368	0.969464	0.310869	1	1	0.711508	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000009	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_Os01g0105800	gene	4	0.795566	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.795566	0.956393	0.309931	1	1	0.711508	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000010	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_Os01g0105700	gene	5	0.794952	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.794952	0.953773	0.30948	1	1	0.711508	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000011	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_Os01g0118300	gene	1	0.813629	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.813629	0.894683	0.355895	1	1	0.817566	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000012	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_Os01g0115900	gene	2	0.79143	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.79143	0.939327	0.355935	1	1	0.66189	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000013	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_Os01g0115800	gene	3	0.790954	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.790954	0.936104	0.356775	1	1	0.66189	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000014	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_Os01g0116800	gene	4	0.775046	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.775046	0.996048	0.357341	1	1	0.521841	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000015	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_Os01g0116900	gene	5	0.774232	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.774232	0.991696	0.357625	1	1	0.521841	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000016	OBJ_GENE_00000037	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0124200	gene	1	0.838884	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.838884	0.993994	0.382861	1	1	0.817566	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000017	OBJ_GENE_00000037	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0125800	gene	2	0.827878	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.827878	0.941465	0.380359	1	1	0.817566	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000018	OBJ_GENE_00000037	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0127000	gene	3	0.814675	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.814675	0.879235	0.376576	1	1	0.817566	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000019	OBJ_GENE_00000037	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0127200	gene	4	0.813348	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.813348	0.873601	0.375574	1	1	0.817566	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000020	OBJ_GENE_00000037	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0127500	gene	5	0.811175	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.811175	0.862404	0.375907	1	1	0.817566	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000021	OBJ_GENE_00000048	data_lt_2007__spkf	gene	GENE_BG_Os01g0127200	gene	1	0.892265	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.892265	0.985356	0.475971	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000022	OBJ_GENE_00000048	data_lt_2007__spkf	gene	GENE_BG_Os01g0127000	gene	2	0.890744	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.890744	0.978286	0.475434	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000023	OBJ_GENE_00000048	data_lt_2007__spkf	gene	GENE_BG_Os01g0128000	gene	3	0.887654	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.887654	0.964933	0.473336	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000024	OBJ_GENE_00000048	data_lt_2007__spkf	gene	GENE_BG_Os01g0128300	gene	4	0.883151	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.883151	0.946515	0.469242	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000025	OBJ_GENE_00000048	data_lt_2007__spkf	gene	GENE_BG_Os01g0124200	gene	5	0.864743	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.864743	0.857934	0.465781	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000026	OBJ_GENE_00000051	data_lt_2007__spkf	gene	GENE_BG_Os01g0128300	gene	1	0.906498	L2_relaxed_position_density	matched_background_candidate	L2_relaxed_position_density	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.906498	0.947352	0.585137	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000027	OBJ_GENE_00000051	data_lt_2007__spkf	gene	GENE_BG_Os01g0128000	gene	2	0.901697	L2_relaxed_position_density	matched_background_candidate	L2_relaxed_position_density	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.901697	0.929593	0.578893	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000028	OBJ_GENE_00000051	data_lt_2007__spkf	gene	GENE_BG_Os01g0127500	gene	3	0.894687	L2_relaxed_position_density	matched_background_candidate	L2_relaxed_position_density	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.894687	0.899215	0.574222	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000029	OBJ_GENE_00000051	data_lt_2007__spkf	gene	GENE_BG_Os01g0127200	gene	4	0.892471	L2_relaxed_position_density	matched_background_candidate	L2_relaxed_position_density	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.892471	0.887356	0.574999	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000030	OBJ_GENE_00000051	data_lt_2007__spkf	gene	GENE_BG_Os01g0127000	gene	5	0.890857	L2_relaxed_position_density	matched_background_candidate	L2_relaxed_position_density	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.890857	0.881619	0.572667	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000031	OBJ_GENE_00000052	data_lt_2007__spkf	gene	GENE_BG_Os01g0133400	gene	1	0.980566	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.980566	0.909897	0.992933	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000032	OBJ_GENE_00000052	data_lt_2007__spkf	gene	GENE_BG_Os01g0132000	gene	2	0.952229	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.952229	0.986916	0.997639	1	1	0.776589	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000033	OBJ_GENE_00000052	data_lt_2007__spkf	gene	GENE_BG_Os01g0132100	gene	3	0.950094	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.950094	0.980949	0.992933	1	1	0.776589	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000034	OBJ_GENE_00000052	data_lt_2007__spkf	gene	GENE_BG_Os01g0130000	gene	4	0.935562	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.935562	0.932754	0.968466	1	1	0.776589	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000035	OBJ_GENE_00000052	data_lt_2007__spkf	gene	GENE_BG_Os01g0131900	gene	5	0.915506	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.915506	0.989275	0.997639	1	1	0.590616	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000036	OBJ_GENE_00000062	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0140400	gene	1	0.952331	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.952331	0.987411	0.997655	1	1	0.776589	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
