qtl_evidence_id	trait_id_or_name	trait_name_normalized	chrom	start	end	interval_length	source_database	source_record_id	evidence_type	coordinate_mapping_status	reference_build	linked_gene_id	linked_gene_symbol	allowed_usage	notes
QTL_QTARO_00000001	plant height	plant height	5	2069338	2760413	691076	Q-TARO	1	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Ph5-1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000002	Head rice	head rice	6	1764586	5425602	3661017	Q-TARO	2	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	hr6	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000003	Rice bran	rice bran	2	2105542	2882252	776711	Q-TARO	3	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	rb2	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000004	Alkali-spread.score	alkali spread score	6	1764586	5425602	3661017	Q-TARO	4	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	alk6-1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000005	Grain l/w ratio	grain l w ratio	6	5425408	24913615	19488208	Q-TARO	5	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only; broad_interval
QTL_QTARO_00000006	Early heading date	early heading date	10	17481862	17627660	145799	Q-TARO	6	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Ehd1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000007	panicle length	panicle length	3	31490136	35089139	3599004	Q-TARO	7	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000008	panicle or tiller no.per m2	panicle or tiller no per m2	5	22309016	24371958	2062943	Q-TARO	8	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000009	fraction sterile panicles	fraction sterile panicles	5	22309016	24371958	2062943	Q-TARO	9	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000010	grains per panicle	grains per panicle	3	27494415	31496678	4002264	Q-TARO	10	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000011	spikelet fertility	spikelet fertility	2	5263536	18269395	13005860	Q-TARO	11	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only; broad_interval
QTL_QTARO_00000012	Kernel length	kernel length	3	16620034	16619778	NA	Q-TARO	12	qtl_interval	unmapped	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	ki3.1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only; missing_or_invalid_interval
QTL_QTARO_00000013	kernel width	kernel width	1	43337688	43337260	NA	Q-TARO	13	qtl_interval	unmapped	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	kw1.1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only; missing_or_invalid_interval
QTL_QTARO_00000014	Gel consistency	gel consistency	7	2112213	2115536	3324	Q-TARO	14	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	gc7.1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000015	Shoot Na+ concentration 	shoot na concentration	7	2666587	4608381	1941795	Q-TARO	15	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qSNC-7	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000016	spotted leaf	spotted leaf	12	9414819	9536731	121913	Q-TARO	16	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Spl1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
