split_unit_id	split_unit_type	source_object_id	source_table	trait_id	object_type	chrom	start	end	gene_id	gene_symbol	variant_id	window_id	accession_id	decoy_pair_id	in_main_evaluation_candidate_pool	manual_review_required	broader_evidence	allowed_usage	notes	split_version
SU_ACC_ACC_0353	accession	ACC_0353	data/interim/trait_state/high_confidence_accessions.tsv	NA	accession	NA	NA	NA	NA	NA	NA	NA	ACC_0353	NA	true	false	false	index_only	accession_id is used only for split/indexing; not a model input token	frozen_split_v055_chr1_snp_prototype_v1
SU_ACC_ACC_0395	accession	ACC_0395	data/interim/trait_state/high_confidence_accessions.tsv	NA	accession	NA	NA	NA	NA	NA	NA	NA	ACC_0395	NA	true	false	false	index_only	accession_id is used only for split/indexing; not a model input token	frozen_split_v055_chr1_snp_prototype_v1
SU_ACC_ACC_0456	accession	ACC_0456	data/interim/trait_state/high_confidence_accessions.tsv	NA	accession	NA	NA	NA	NA	NA	NA	NA	ACC_0456	NA	true	false	false	index_only	accession_id is used only for split/indexing; not a model input token	frozen_split_v055_chr1_snp_prototype_v1
SU_ACC_ACC_0559	accession	ACC_0559	data/interim/trait_state/high_confidence_accessions.tsv	NA	accession	NA	NA	NA	NA	NA	NA	NA	ACC_0559	NA	true	false	false	index_only	accession_id is used only for split/indexing; not a model input token	frozen_split_v055_chr1_snp_prototype_v1
SU_ACC_ACC_0560	accession	ACC_0560	data/interim/trait_state/high_confidence_accessions.tsv	NA	accession	NA	NA	NA	NA	NA	NA	NA	ACC_0560	NA	true	false	false	index_only	accession_id is used only for split/indexing; not a model input token	frozen_split_v055_chr1_snp_prototype_v1
SU_ACC_ACC_0561	accession	ACC_0561	data/interim/trait_state/high_confidence_accessions.tsv	NA	accession	NA	NA	NA	NA	NA	NA	NA	ACC_0561	NA	true	false	false	index_only	accession_id is used only for split/indexing; not a model input token	frozen_split_v055_chr1_snp_prototype_v1
SU_ACC_ACC_0562	accession	ACC_0562	data/interim/trait_state/high_confidence_accessions.tsv	NA	accession	NA	NA	NA	NA	NA	NA	NA	ACC_0562	NA	true	false	false	index_only	accession_id is used only for split/indexing; not a model input token	frozen_split_v055_chr1_snp_prototype_v1
SU_ACC_ACC_0563	accession	ACC_0563	data/interim/trait_state/high_confidence_accessions.tsv	NA	accession	NA	NA	NA	NA	NA	NA	NA	ACC_0563	NA	true	false	false	index_only	accession_id is used only for split/indexing; not a model input token	frozen_split_v055_chr1_snp_prototype_v1
SU_ACC_ACC_0564	accession	ACC_0564	data/interim/trait_state/high_confidence_accessions.tsv	NA	accession	NA	NA	NA	NA	NA	NA	NA	ACC_0564	NA	true	false	false	index_only	accession_id is used only for split/indexing; not a model input token	frozen_split_v055_chr1_snp_prototype_v1
SU_ACC_ACC_0565	accession	ACC_0565	data/interim/trait_state/high_confidence_accessions.tsv	NA	accession	NA	NA	NA	NA	NA	NA	NA	ACC_0565	NA	true	false	false	index_only	accession_id is used only for split/indexing; not a model input token	frozen_split_v055_chr1_snp_prototype_v1
SU_ACC_ACC_0566	accession	ACC_0566	data/interim/trait_state/high_confidence_accessions.tsv	NA	accession	NA	NA	NA	NA	NA	NA	NA	ACC_0566	NA	true	false	false	index_only	accession_id is used only for split/indexing; not a model input token	frozen_split_v055_chr1_snp_prototype_v1
SU_ACC_ACC_0567	accession	ACC_0567	data/interim/trait_state/high_confidence_accessions.tsv	NA	accession	NA	NA	NA	NA	NA	NA	NA	ACC_0567	NA	true	false	false	index_only	accession_id is used only for split/indexing; not a model input token	frozen_split_v055_chr1_snp_prototype_v1
SU_ACC_ACC_0568	accession	ACC_0568	data/interim/trait_state/high_confidence_accessions.tsv	NA	accession	NA	NA	NA	NA	NA	NA	NA	ACC_0568	NA	true	false	false	index_only	accession_id is used only for split/indexing; not a model input token	frozen_split_v055_chr1_snp_prototype_v1
SU_ACC_ACC_0569	accession	ACC_0569	data/interim/trait_state/high_confidence_accessions.tsv	NA	accession	NA	NA	NA	NA	NA	NA	NA	ACC_0569	NA	true	false	false	index_only	accession_id is used only for split/indexing; not a model input token	frozen_split_v055_chr1_snp_prototype_v1
