assignment_id	split_version	random_seed	split_unit_id	split_block_id	split_unit_type	assigned_split	assigned_role	trait_id	object_type	chrom	start	end	assignment_rule	prototype_locked_not_final	notes
ASN_000000001	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0353	BLK_ACC_ACC_0353	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000002	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0395	BLK_ACC_ACC_0395	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000003	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0456	BLK_ACC_ACC_0456	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000004	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0559	BLK_ACC_ACC_0559	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000005	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0560	BLK_ACC_ACC_0560	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000006	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0561	BLK_ACC_ACC_0561	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000007	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0562	BLK_ACC_ACC_0562	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000008	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0563	BLK_ACC_ACC_0563	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000009	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0564	BLK_ACC_ACC_0564	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000010	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0565	BLK_ACC_ACC_0565	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000011	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0566	BLK_ACC_ACC_0566	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
