source_file	seqid	n_features	n_gene	n_mRNA	n_exon	n_CDS	notes
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_001320.1	648	156	108	201	124	feature_types=features,region,gene,mRNA,exon,CDS,tRNA,pseudogene,inverted_repeat,sequence_feature,rRNA,intron
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_001751.1	7	0	2	2	2	feature_types=features,region,mRNA,exon,CDS
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_011033.1	826	79	53	101	76	feature_types=features,region,gene,tRNA,exon,mRNA,CDS,sequence_feature,pseudogene,pseudogenic_tRNA,rRNA
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_029256.1	92074	4472	5850	45748	34421	feature_types=features,region,gene,mRNA,exon,CDS,lnc_RNA,transcript,tRNA,pseudogene,snoRNA,snRNA,cDNA_match
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_029257.1	81548	3652	4826	42453	28953	feature_types=features,region,gene,mRNA,exon,CDS,snoRNA,pseudogene,lnc_RNA,transcript,tRNA,snRNA,rRNA,cDNA_match
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_029258.1	81135	3941	5196	39903	30710	feature_types=features,region,gene,mRNA,exon,CDS,lnc_RNA,transcript,pseudogene,tRNA,snoRNA,snRNA,cDNA_match
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_029259.1	57875	2957	3712	28598	21105	feature_types=features,region,gene,mRNA,exon,CDS,lnc_RNA,transcript,snoRNA,pseudogene,tRNA,snRNA,cDNA_match
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_029260.1	53516	2616	3411	26725	19700	feature_types=features,region,gene,transcript,exon,mRNA,CDS,lnc_RNA,pseudogene,tRNA,snoRNA,snRNA,cDNA_match
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_029261.1	53708	2725	3458	26526	19877	feature_types=features,region,gene,lnc_RNA,exon,mRNA,CDS,tRNA,transcript,pseudogene,snoRNA,snRNA,cDNA_match
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_029262.1	49211	2596	3316	24474	17792	feature_types=features,region,gene,mRNA,exon,CDS,lnc_RNA,transcript,pseudogene,tRNA,snoRNA,snRNA,cDNA_match
