task_id	task_name	task_type	object_type	score_level	input_object_table	input_decoy_table	required_score_fields	assigned_split	allowed_splits	metric_family	is_formal_metric	is_dry_run_only	notes	scaffold_version
TASK_0001	matched_ranking_gene_dev	matched_ranking	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	matched_background_rank_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0002	rank_percentile_gene_dev	rank_percentile	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	rank_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0003	topk_recovery_gene_dev	topk_recovery	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	topk_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0004	enrichment_over_matched_background_gene_dev	enrichment_over_matched_background	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	matched_background_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0005	distance_to_evidence_gene_dev	distance_to_evidence	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	distance_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0006	overlap_with_region_gene_dev	overlap_with_region	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	overlap_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0007	diagnostic_only_gene_dev	diagnostic_only	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	join_and_leakage_diagnostic	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0008	matched_ranking_qtl_interval_dev	matched_ranking	qtl_interval	region	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	matched_background_rank_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0009	rank_percentile_qtl_interval_dev	rank_percentile	qtl_interval	region	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	rank_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0010	topk_recovery_qtl_interval_dev	topk_recovery	qtl_interval	region	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	topk_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
