object_id	object_type	gene_id	gene_symbol	chrom	start	end	annotation_record_count	external_knowledge_hit_count	known_gene_proximity	database_source_count	trait_evidence_count	annotation_richness_score	literature_bias_proxy	research_bias_score	research_bias_fields_available	notes	pipeline_version
OBJ_GENE_00000001	gene	Os01g0100900	SPL1, OsSPL1, OsSPL	1	35623	41136	1	24	0	1	11	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.41198	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000002	gene	Os01g0101600	SCR106, RRM1-1, OsSCR106, OsRRM1-1	1	72823	77699	1	3	0	1	3	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.22397	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000003	gene	Os01g0102000	NPC5, OsNPC6, NPC6, OsNPC5	1	89763	91521	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000004	gene	Os01g0102300	TLP27, OsTLP27	1	134300	135439	1	10	0	1	7	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.320619	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000005	gene	Os01g0102400	HAP5H, OsNF-YC9, NF-YC9, OsHAP5H, NFYC9	1	139826	141555	1	3	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.22397	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000006	gene	Os01g0102800	CSB, OsCHR704, CHR704, OsCBS	1	151409	156449	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000007	gene	Os01g0102900	LIR1, Lir1, OsLIR1, Os-LIR1	1	169390	170316	1	3	0	1	3	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.22397	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000008	gene	Os01g0103100	NPF6.1, OsNPF6.1	1	178607	180548	1	5	0	1	5	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.25993	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000009	gene	Os01g0104100	NCA1A, OsNCA1a, NCA1a, OsCOIN, COIN, OsRING1, RING1	1	209771	214173	1	11	0	1	7	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.329882	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000010	gene	Os01g0104200	NAC16, OsNAC016, ONAC016, ONAC16, OsNAC16	1	216126	217664	1	28	0	1	20	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.429248	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
