guard_id	guard_name	status	n_checked	n_failed	details	blocking_issue	notes	scaffold_version
ELG_00000001	evidence_used_for_training_false	pass	33981	0	object input has no training_label usage	false	NA	evaluator_scaffold_v055_chr1_snp_prototype_v1
ELG_00000002	manual_review_not_in_main_evaluator_input	pass	33981	0	manual review excluded	false	NA	evaluator_scaffold_v055_chr1_snp_prototype_v1
ELG_00000003	broader_evidence_not_in_main_evaluator_input	pass	33981	0	broader evidence excluded	false	NA	evaluator_scaffold_v055_chr1_snp_prototype_v1
ELG_00000004	decoy_uses_true_negative_false	pass	169905	0	decoys are matched background only	false	NA	evaluator_scaffold_v055_chr1_snp_prototype_v1
ELG_00000005	unknown_as_negative_false	pass	17	0	output schema default is false	false	NA	evaluator_scaffold_v055_chr1_snp_prototype_v1
ELG_00000006	accession_id_not_required_score_field	pass	16	0	accession_id is optional index only	false	NA	evaluator_scaffold_v055_chr1_snp_prototype_v1
ELG_00000007	accession_level_score_not_direct_formal_evaluation	pass	16	0	score_level excludes accession-level direct evaluation	false	NA	evaluator_scaffold_v055_chr1_snp_prototype_v1
ELG_00000008	prototype_locked_not_final_true	pass	33981	0	all evaluator object rows keep prototype_locked_not_final=true	false	NA	evaluator_scaffold_v055_chr1_snp_prototype_v1
ELG_00000009	final_locked_field_absent	pass	203919	0	no final_locked field name, split value, or role value in scaffold outputs	false	NA	evaluator_scaffold_v055_chr1_snp_prototype_v1
ELG_00000010	split_leakage_check_passed_or_warning	pass	9	0	inherits split_leakage_check from 08C	false	NA	evaluator_scaffold_v055_chr1_snp_prototype_v1
