diagnostic_id	split_version	diagnostic_type	assigned_split	trait_id	object_type	n_units	n_blocks	n_accessions	n_evidence_objects	n_decoy_pairs	subgroup_distribution	PC_balance_summary	trait_distribution	evidence_source_distribution	object_type_distribution	position_distribution	gene_density_summary	variant_density_summary	notes
SBD_00000001	frozen_split_v055_chr1_snp_prototype_v1	accession_accession	dev	NA	accession	336	336	336	0	0	ind3:106;ind2:59;trop1:49;temp:29;ind1B:26;aus:24;ind1A:23;trop2:13;aro:7	PC1_mean=0.001595;PC2_mean=0.000029;PC3_mean=0.001363;PC4_mean=-0.000123;PC5_mean=0.004371	NA	NA	accession:336	NA	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000002	frozen_split_v055_chr1_snp_prototype_v1	decoy_pair_gene	dev	data_lt_2007__cult_code_repro;data_lt_2007__spkf;data_lt_2007__lsen;data_lt_2007__llt_code;data_lt_2007__fla_repro;data_lt_2007__cudi_code_repro	gene	1935	5	0	0	1935	NA	NA	data_lt_2007__spkf:1005;data_lt_2007__cult_code_repro:485;data_lt_2007__cudi_code_repro:235;data_lt_2007__lsen:190;data_lt_2007__fla_repro:15;data_lt_2007__llt_code:5	NA	gene:1935	min=75261;median=22380821;max=43208906	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000003	frozen_split_v055_chr1_snp_prototype_v1	decoy_pair_qtl_interval	dev	data_lt_2007__cult_code_repro;data_lt_2007__fla_repro;data_lt_2007__spkf;data_lt_2007__llt_code;data_lt_2007__cudi_code_repro	qtl_interval	225	3	0	0	225	NA	NA	data_lt_2007__cult_code_repro:145;data_lt_2007__spkf:40;data_lt_2007__fla_repro:25;data_lt_2007__llt_code:10;data_lt_2007__cudi_code_repro:5	NA	qtl_interval:225	min=3582915;median=39530958;max=44258287	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000004	frozen_split_v055_chr1_snp_prototype_v1	decoy_pair_variant	dev	data_lt_2007__spkf;data_lt_2007__fla_repro;data_lt_2007__cult_code_repro;data_lt_2007__llt_code;data_lt_2007__cuan_repro	variant	109040	5	0	0	109040	NA	NA	data_lt_2007__cult_code_repro:53340;data_lt_2007__llt_code:36495;data_lt_2007__spkf:12145;data_lt_2007__fla_repro:3530;data_lt_2007__cuan_repro:3530	NA	variant:109040	min=1406576;median=24711166;max=43255617	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000005	frozen_split_v055_chr1_snp_prototype_v1	decoy_pair_window	dev	data_lt_2007__spkf;data_lt_2007__fla_repro;data_lt_2007__cult_code_repro;data_lt_2007__llt_code;data_lt_2007__cuan_repro	window	2105	5	0	0	2105	NA	NA	data_lt_2007__cult_code_repro:1095;data_lt_2007__llt_code:690;data_lt_2007__spkf:150;data_lt_2007__fla_repro:85;data_lt_2007__cuan_repro:85	NA	window:2105	min=1400000;median=24800000;max=43235462	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000006	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_gene	dev	data_lt_2007__cult_code_repro;data_lt_2007__spkf;data_lt_2007__lsen;data_lt_2007__llt_code;data_lt_2007__fla_repro;data_lt_2007__cudi_code_repro	gene	387	5	0	387	0	NA	NA	data_lt_2007__spkf:201;data_lt_2007__cult_code_repro:97;data_lt_2007__cudi_code_repro:47;data_lt_2007__lsen:38;data_lt_2007__fla_repro:3;data_lt_2007__llt_code:1	funRiceGenes geneKeyword:209;RAP-DB JSON:124;Oryzabase GeneListEn:54	gene:387	min=75261;median=22380821;max=43208906	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000007	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_qtl_interval	dev	data_lt_2007__cult_code_repro;data_lt_2007__fla_repro;data_lt_2007__spkf;data_lt_2007__llt_code;data_lt_2007__cudi_code_repro	qtl_interval	45	3	0	45	0	NA	NA	data_lt_2007__cult_code_repro:29;data_lt_2007__spkf:8;data_lt_2007__fla_repro:5;data_lt_2007__llt_code:2;data_lt_2007__cudi_code_repro:1	Q-TARO:45	qtl_interval:45	min=3582915;median=39530958;max=44258287	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000008	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_variant	dev	data_lt_2007__spkf;data_lt_2007__fla_repro;data_lt_2007__cult_code_repro;data_lt_2007__llt_code;data_lt_2007__cuan_repro	variant	21808	5	0	21808	0	NA	NA	data_lt_2007__cult_code_repro:10668;data_lt_2007__llt_code:7299;data_lt_2007__spkf:2429;data_lt_2007__fla_repro:706;data_lt_2007__cuan_repro:706	Q-TARO:21808	variant:21808	min=1406576;median=24711166;max=43255617	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000009	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_window	dev	data_lt_2007__spkf;data_lt_2007__fla_repro;data_lt_2007__cult_code_repro;data_lt_2007__llt_code;data_lt_2007__cuan_repro	window	421	5	0	421	0	NA	NA	data_lt_2007__cult_code_repro:219;data_lt_2007__llt_code:138;data_lt_2007__spkf:30;data_lt_2007__fla_repro:17;data_lt_2007__cuan_repro:17	Q-TARO:421	window:421	min=1400000;median=24800000;max=43235462	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000010	frozen_split_v055_chr1_snp_prototype_v1	region_window_region	dev	NA	window_region	465	5	0	0	0	NA	NA	NA	NA	window_region:465	min=50000;median=31650000;max=43235462	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
